Local Authority,LSOA Name,ONS Name,LSOA Code,Child Index 2011,Income domain_Child Index 2011,Education domain_Child Index 2011,Health domain_Child Index 2011,Community Safety domain_Child Index 2011,Enviroment domain_Child Index 2011,Access to Services domain_Child Index 2011,Housing domain_Child Index 2011
The Vale of Glamorgan,St. Augustine's 3,005D,W01001125,8.0,4.0,3.7,17.8,16.1,2.5,5.2,18.5
The Vale of Glamorgan,St. Augustine's 4,005E,W01001126,14.2,10.8,13.4,12.6,9.9,29.0,16.2,25.7
The Vale of Glamorgan,St. Bride's Major 1,001B,W01001127,6.6,0.3,0.8,0.5,5.7,6.9,44.9,0.9
The Vale of Glamorgan,St. Bride's Major 2,001C,W01001128,10.9,7.8,1.7,10.1,4.1,5.2,44.6,2.2
The Vale of Glamorgan,Stanwell 1,004F,W01001129,17.3,13.2,16.1,32.5,22.4,4.5,11.0,22.5
The Vale of Glamorgan,Stanwell 2,005F,W01001130,3.8,3.7,0.1,7.7,8.9,3.4,2.7,1.3
The Vale of Glamorgan,Stanwell 3,008C,W01001131,18.0,18.0,10.1,24.0,36.9,1.2,15.7,25.8
The Vale of Glamorgan,Sully 1,008D,W01001132,9.9,2.0,3.5,9.2,4.2,46.7,30.0,4.6
The Vale of Glamorgan,Sully 2,008E,W01001133,10.4,2.4,0.7,12.0,6.8,57.6,27.2,2.7
The Vale of Glamorgan,Sully 3,008F,W01001134,7.7,0.7,1.2,12.1,5.3,10.5,33.3,2.1
The Vale of Glamorgan,Wenvoe 1,003C,W01001135,8.7,1.3,0.3,8.8,6.2,5.6,46.3,5.3
The Vale of Glamorgan,Wenvoe 2,003D,W01001136,4.9,2.5,1.6,5.0,9.0,6.9,15.4,1.0
Rhondda Cynon Taf,Aberaman North 1,005A,W01001137,31.5,40.9,25.5,41.9,46.9,2.1,5.8,30.6
Rhondda Cynon Taf,Aberaman North 2,005B,W01001138,22.9,26.8,22.8,14.7,44.1,15.6,21.2,14.0
Rhondda Cynon Taf,Aberaman North 3,005C,W01001139,27.5,20.3,22.5,61.8,38.5,7.2,21.1,9.0
Rhondda Cynon Taf,Aberaman South 1,005D,W01001140,33.2,52.5,20.9,13.2,38.8,13.6,31.2,30.2
Rhondda Cynon Taf,Aberaman South 2,005E,W01001141,40.4,34.9,38.1,83.5,27.9,15.6,27.4,20.2
Rhondda Cynon Taf,Aberaman South 3,005F,W01001142,44.3,54.2,34.6,59.8,31.0,12.0,23.1,59.3
Rhondda Cynon Taf,Abercynon 1,012A,W01001143,17.1,19.4,23.5,6.5,16.3,7.9,17.1,25.1
Rhondda Cynon Taf,Abercynon 2,012B,W01001144,52.5,65.0,89.1,38.4,53.2,0.5,24.1,25.4
Rhondda Cynon Taf,Abercynon 3,012C,W01001145,28.2,21.1,64.0,28.3,35.1,0.6,7.1,31.8
Rhondda Cynon Taf,Abercynon 4,012D,W01001146,15.7,14.4,16.1,27.1,25.8,6.6,6.3,8.4
Rhondda Cynon Taf,Aberdare East 1,004A,W01001147,11.3,5.8,12.5,22.7,5.1,20.8,5.9,14.9
Rhondda Cynon Taf,Aberdare East 2,002A,W01001148,29.0,26.2,19.1,60.9,42.3,25.1,2.4,28.2
Rhondda Cynon Taf,Aberdare East 3,003A,W01001149,18.3,26.1,21.0,21.5,23.1,0.9,1.3,3.7
Rhondda Cynon Taf,Aberdare East 4,003B,W01001150,31.7,38.7,36.1,30.2,54.6,17.5,0.3,37.6
Rhondda Cynon Taf,Aberdare West/Llwydcoed 1,003C,W01001151,10.0,12.7,10.5,11.2,6.9,0.8,10.4,1.9
Rhondda Cynon Taf,Aberdare West/Llwydcoed 2,002B,W01001152,12.6,11.3,12.3,5.7,7.2,10.4,34.8,2.5
Rhondda Cynon Taf,Aberdare West/Llwydcoed 3,002C,W01001153,22.9,31.4,32.6,16.0,14.0,4.2,7.8,23.6
Rhondda Cynon Taf,Aberdare West/Llwydcoed 4,003D,W01001154,20.2,23.3,28.6,9.9,18.8,1.3,19.4,29.4
Rhondda Cynon Taf,Aberdare West/Llwydcoed 5,002D,W01001155,23.8,32.7,24.1,14.0,21.7,29.4,6.9,29.6
Rhondda Cynon Taf,Aberdare West/Llwydcoed 6,003E,W01001156,5.5,0.6,4.9,7.8,0.5,1.8,23.3,1.9
Rhondda Cynon Taf,Beddau 1,028A,W01001157,14.3,17.1,19.9,7.9,7.1,23.0,5.6,16.6
Rhondda Cynon Taf,Beddau 2,028B,W01001158,26.6,28.7,36.7,36.2,19.9,5.9,10.0,19.3
Rhondda Cynon Taf,Beddau 3,028C,W01001159,9.6,5.6,2.7,17.9,1.5,27.2,16.7,5.3
Rhondda Cynon Taf,Brynna 1,029A,W01001160,9.9,5.8,19.9,4.4,10.0,4.6,21.7,2.1
Rhondda Cynon Taf,Brynna 2,029B,W01001161,24.8,21.2,30.7,32.3,12.1,6.8,36.0,16.0
Rhondda Cynon Taf,Church Village 1,025A,W01001162,43.5,48.3,47.3,71.0,31.8,38.3,0.2,31.3
Rhondda Cynon Taf,Church Village 2,027A,W01001163,6.8,2.0,4.2,13.6,1.6,39.6,3.9,1.1
Rhondda Cynon Taf,Cilfynydd 1,019A,W01001164,16.5,19.1,24.3,5.6,41.3,22.1,0.0,12.1
Rhondda Cynon Taf,Cilfynydd 2,019B,W01001165,14.9,12.6,35.0,2.5,34.2,3.3,7.3,13.8
Rhondda Cynon Taf,Cwm Clydach 1,016A,W01001166,46.9,54.3,45.8,53.7,52.2,0.3,37.3,47.8
Rhondda Cynon Taf,Cwm Clydach 2,016B,W01001167,28.2,28.9,38.6,25.0,23.8,0.4,33.9,25.6
Rhondda Cynon Taf,Cwmbach 1,004B,W01001168,20.7,22.7,24.4,28.9,29.1,5.9,5.4,12.8
Rhondda Cynon Taf,Cwmbach 2,004C,W01001169,39.6,40.7,54.2,54.5,48.7,12.2,12.3,22.8
Rhondda Cynon Taf,Cwmbach 3,004D,W01001170,10.8,4.2,8.0,27.8,9.6,4.8,18.7,1.2
Rhondda Cynon Taf,Cymmer (Rhondda Cynon Taf) 1,017A,W01001171,15.5,13.7,17.5,14.4,20.6,33.3,12.2,6.7
Rhondda Cynon Taf,Cymmer (Rhondda Cynon Taf) 2,020A,W01001172,14.9,23.3,13.7,11.4,19.0,4.5,2.9,10.2
Rhondda Cynon Taf,Cymmer (Rhondda Cynon Taf) 3,020B,W01001173,40.1,53.5,65.4,22.1,45.1,5.6,8.2,35.8
Rhondda Cynon Taf,Cymmer (Rhondda Cynon Taf) 4,020C,W01001174,53.7,76.2,83.1,46.3,39.0,1.6,3.0,29.4
Rhondda Cynon Taf,Ferndale 1,009A,W01001175,15.9,16.0,18.3,14.4,20.8,8.9,1.5,43.7
Rhondda Cynon Taf,Ferndale 2,013A,W01001176,18.4,25.4,23.6,13.3,14.0,3.0,9.1,15.8
Rhondda Cynon Taf,Ferndale 3,009B,W01001177,21.6,27.0,22.2,11.9,14.7,38.3,10.8,26.7
Rhondda Cynon Taf,Gilfach Goch 1,023A,W01001178,31.0,31.5,48.7,39.6,21.5,0.4,25.4,5.9
Rhondda Cynon Taf,Gilfach Goch 2,023B,W01001179,43.8,53.6,70.7,42.6,27.3,1.0,22.4,17.6
Rhondda Cynon Taf,Glyncoch 1,015A,W01001180,62.3,75.6,95.8,58.7,72.0,15.5,5.9,51.0
Rhondda Cynon Taf,Glyncoch 2,015B,W01001181,30.6,16.6,46.2,59.1,25.3,12.0,24.4,24.4
Rhondda Cynon Taf,Graig (Rhondda Cynon Taf) 1,021A,W01001182,41.9,40.9,53.2,52.9,61.8,10.4,34.9,11.0
Rhondda Cynon Taf,Graig (Rhondda Cynon Taf) 2,021B,W01001183,29.0,26.1,21.1,40.9,50.5,19.0,25.2,29.8
Rhondda Cynon Taf,Hawthorn 1,026A,W01001184,19.6,12.3,24.3,26.5,10.5,54.9,3.3,36.2
Rhondda Cynon Taf,Hawthorn 2,022A,W01001185,28.9,21.8,58.4,25.6,26.4,41.1,1.0,43.4
Rhondda Cynon Taf,Hirwaun 1,001A,W01001186,20.1,19.4,19.6,21.5,9.7,21.4,29.6,10.9
Rhondda Cynon Taf,Hirwaun 2,001B,W01001187,21.4,23.8,17.3,25.1,9.5,10.9,32.8,8.9
Rhondda Cynon Taf,Hirwaun 3,001C,W01001188,31.6,58.1,27.3,16.1,32.1,8.1,7.6,4.7
Rhondda Cynon Taf,Llanharan 1,029C,W01001189,31.7,29.2,47.0,41.4,23.2,1.5,28.4,21.5
Rhondda Cynon Taf,Llanharan 2,029D,W01001190,13.3,7.1,5.7,4.8,5.5,57.3,38.5,7.4
Rhondda Cynon Taf,Llanharry 1,031A,W01001191,11.4,8.6,6.8,1.8,5.8,15.9,44.8,1.8
Rhondda Cynon Taf,Llanharry 2,031B,W01001192,31.4,42.1,55.0,21.9,12.4,3.3,15.5,8.0
Rhondda Cynon Taf,Llantrisant Town 1,030A,W01001193,4.3,2.8,7.0,1.5,5.5,17.8,1.3,4.3
Rhondda Cynon Taf,Llantrisant Town 2,030B,W01001194,6.5,1.7,2.2,0.3,1.0,31.1,25.7,5.6
Rhondda Cynon Taf,Llantrisant Town 3,030C,W01001195,12.9,11.3,30.1,7.8,5.9,9.5,6.2,12.3
Rhondda Cynon Taf,Llantwit Fardre 1,027B,W01001196,10.9,12.2,5.0,5.7,6.7,42.3,12.8,3.6
Rhondda Cynon Taf,Llantwit Fardre 2,027C,W01001197,13.6,1.1,2.4,5.4,0.2,21.2,86.4,0.3
Rhondda Cynon Taf,Llantwit Fardre 3,027D,W01001198,12.5,4.5,7.5,12.1,2.6,51.8,29.4,10.2
Rhondda Cynon Taf,Llantwit Fardre 4,027E,W01001199,19.4,9.9,17.1,41.7,4.6,50.1,14.9,11.8
Rhondda Cynon Taf,Llwyn-y-pia 1,014A,W01001200,29.4,27.1,30.1,38.6,33.3,28.6,10.0,51.3
Rhondda Cynon Taf,Llwyn-y-pia 2,014B,W01001201,32.3,43.2,48.4,2.8,32.1,32.2,20.2,31.9
Rhondda Cynon Taf,Maerdy 1,009C,W01001202,47.7,67.8,60.4,27.4,55.1,34.5,2.9,47.9
Rhondda Cynon Taf,Maerdy 2,009D,W01001203,52.9,69.4,68.9,72.3,45.2,7.7,1.4,13.1
Rhondda Cynon Taf,Mountain Ash East 1,006A,W01001204,18.5,20.2,28.1,11.8,16.4,3.8,18.8,16.5
Rhondda Cynon Taf,Mountain Ash East 2,006B,W01001205,20.0,22.0,27.4,11.8,24.8,7.3,26.3,6.0
Rhondda Cynon Taf,Mountain Ash West 1,006C,W01001206,31.4,35.0,45.7,42.9,14.9,3.9,16.3,12.5
Rhondda Cynon Taf,Mountain Ash West 2,006D,W01001207,50.9,75.3,58.7,36.2,65.0,5.0,21.9,18.7
Rhondda Cynon Taf,Mountain Ash West 3,006E,W01001208,31.0,36.3,35.2,44.4,28.8,5.6,10.1,19.9
Rhondda Cynon Taf,Penrhiwceiber 1,008A,W01001209,65.6,88.6,92.9,56.1,62.0,2.4,25.6,30.1
Rhondda Cynon Taf,Penrhiwceiber 2,008B,W01001210,39.6,46.7,49.8,63.8,28.5,0.8,8.4,13.9
Rhondda Cynon Taf,Penrhiwceiber 3,008C,W01001211,32.5,28.6,48.0,54.0,15.1,5.1,21.5,17.3
Rhondda Cynon Taf,Penrhiwceiber 4,008D,W01001212,43.8,37.3,62.5,84.5,22.8,1.5,23.5,18.5
Rhondda Cynon Taf,Pentre 1,011A,W01001213,12.9,10.0,18.7,6.0,24.5,13.5,4.6,37.7
Rhondda Cynon Taf,Pentre 2,011B,W01001214,18.7,8.1,3.1,71.5,7.8,4.7,17.3,3.3
Rhondda Cynon Taf,Pentre 3,011C,W01001215,25.7,29.2,14.3,30.6,65.4,16.1,18.1,9.1
Rhondda Cynon Taf,Pentre 4,011D,W01001216,22.3,21.1,28.1,22.5,23.6,20.4,19.8,18.4
Rhondda Cynon Taf,Pen-y-graig 1,018A,W01001217,35.3,36.2,55.3,45.9,32.9,8.7,8.1,27.7
Rhondda Cynon Taf,Pen-y-graig 2,018B,W01001218,19.8,22.9,21.5,21.2,20.7,16.0,1.5,32.0
Rhondda Cynon Taf,Pen-y-graig 3,018C,W01001219,44.5,45.8,40.0,94.3,28.0,27.3,7.4,18.2
Rhondda Cynon Taf,Pen-y-graig 4,018D,W01001220,20.1,28.6,21.7,3.4,26.8,32.8,6.7,20.7
Rhondda Cynon Taf,Pen-y-waun 1,001D,W01001221,39.0,52.4,45.5,35.3,33.7,14.8,19.7,21.4
Rhondda Cynon Taf,Pen-y-waun 2,001E,W01001222,49.7,77.2,84.9,17.3,58.2,5.2,4.0,9.4
Rhondda Cynon Taf,Pont-y-clun 1,031C,W01001223,9.6,3.5,1.4,11.7,3.9,19.9,30.6,14.5
Rhondda Cynon Taf,Pont-y-clun 2,031D,W01001224,7.1,0.5,0.3,1.1,0.1,36.1,35.9,1.7
Rhondda Cynon Taf,Pont-y-clun 3,031E,W01001225,9.4,1.2,0.9,10.5,3.1,19.1,45.7,1.7
Rhondda Cynon Taf,Pont-y-clun 4,031F,W01001226,21.1,23.6,14.2,27.7,11.1,24.2,16.2,23.3
Rhondda Cynon Taf,Pontypridd Town 1,021C,W01001227,8.4,3.6,10.3,4.3,9.7,3.4,27.9,6.5
Rhondda Cynon Taf,Pontypridd Town 2,021D,W01001228,9.8,9.2,4.4,5.3,21.5,17.7,19.7,2.5
Rhondda Cynon Taf,Porth 1,017B,W01001229,14.2,12.5,15.0,15.8,32.2,22.0,2.2,15.4
Rhondda Cynon Taf,Porth 2,017C,W01001230,7.0,5.9,7.5,10.3,15.0,1.1,3.3,7.6
Rhondda Cynon Taf,Porth 3,017D,W01001231,24.2,30.6,27.2,24.0,28.7,10.3,10.6,15.6
Rhondda Cynon Taf,Porth 4,020D,W01001232,25.6,30.0,32.3,35.2,30.7,11.4,3.7,7.4
Rhondda Cynon Taf,Rhigos,001F,W01001233,26.5,17.8,21.8,55.7,9.0,2.1,43.4,15.7
Rhondda Cynon Taf,Rhondda 1,021E,W01001234,15.5,14.9,7.6,9.4,7.2,31.3,32.4,17.7
Rhondda Cynon Taf,Rhondda 2,021F,W01001235,34.0,23.9,42.3,63.1,22.4,22.1,21.4,36.3
Rhondda Cynon Taf,Rhondda 3,021G,W01001236,14.5,9.5,22.0,9.7,12.2,15.8,27.4,11.4
Rhondda Cynon Taf,Rhydfelen Central/Ilan 1,022B,W01001237,28.8,27.9,46.9,42.5,23.3,12.6,4.9,13.6
Rhondda Cynon Taf,Rhydfelen Central/Ilan 2,022C,W01001238,52.6,60.9,85.4,55.1,60.4,12.1,5.2,33.4
Rhondda Cynon Taf,Rhydfelen Central/Ilan 3,026B,W01001239,44.5,41.2,54.6,95.8,34.7,15.4,2.0,15.3
Rhondda Cynon Taf,Taffs Well 1,026C,W01001240,11.4,5.8,6.9,4.5,4.7,30.7,33.5,19.4
Rhondda Cynon Taf,Taffs Well 2,026D,W01001241,25.1,19.2,19.0,48.2,19.5,25.1,27.6,11.6
Rhondda Cynon Taf,Talbot Green 1,030D,W01001242,6.7,2.2,2.8,2.2,4.6,58.2,9.3,0.9
Rhondda Cynon Taf,Talbot Green 2,030E,W01001243,27.4,27.2,25.9,40.3,19.2,32.5,2.8,48.9
Rhondda Cynon Taf,Ton-teg 1,025B,W01001244,14.8,6.9,13.1,42.2,2.6,25.4,8.8,1.7
Rhondda Cynon Taf,Ton-teg 2,025C,W01001245,4.5,0.6,4.5,6.5,1.1,19.4,7.5,4.4
Rhondda Cynon Taf,Ton-teg 3,025D,W01001246,11.1,12.9,12.2,4.4,13.0,24.6,1.0,21.1
Rhondda Cynon Taf,Tonypandy 1,016C,W01001247,26.6,24.2,27.7,31.5,31.0,20.6,16.8,45.7
Rhondda Cynon Taf,Tonypandy 2,016D,W01001248,20.7,22.2,14.9,32.9,36.7,11.2,8.0,13.7
Rhondda Cynon Taf,Tonyrefail East 1,024A,W01001249,18.8,13.4,31.4,17.0,50.7,3.1,0.4,40.0
Rhondda Cynon Taf,Tonyrefail East 2,024B,W01001250,24.1,27.8,26.5,11.1,18.0,3.5,47.9,12.3
Rhondda Cynon Taf,Tonyrefail East 3,024C,W01001251,42.5,51.3,78.3,29.6,52.5,0.8,11.7,21.2
Rhondda Cynon Taf,Tonyrefail East 4,024D,W01001252,14.4,8.5,7.4,2.1,7.9,1.5,74.3,2.5
Rhondda Cynon Taf,Tonyrefail West 1,023C,W01001253,28.4,25.4,43.3,22.1,18.5,34.3,16.8,49.4
Rhondda Cynon Taf,Tonyrefail West 2,023D,W01001254,13.0,4.8,13.5,10.0,14.1,4.2,48.8,3.6
Rhondda Cynon Taf,Tonyrefail West 3,023E,W01001255,40.8,37.3,72.6,54.3,48.9,3.3,2.2,40.5
Rhondda Cynon Taf,Trallwng 1,019C,W01001256,22.5,24.8,41.7,16.3,12.1,6.0,8.5,27.8
Rhondda Cynon Taf,Trallwng 2,019D,W01001257,15.8,10.1,8.8,43.8,7.4,14.6,14.7,1.5
Rhondda Cynon Taf,Trallwng 3,019E,W01001258,20.6,16.1,32.2,23.6,36.1,28.9,8.6,5.4
Rhondda Cynon Taf,Trealaw 1,018E,W01001259,18.4,22.4,21.6,17.5,16.8,0.8,11.4,22.2
Rhondda Cynon Taf,Trealaw 2,014C,W01001260,47.0,59.9,46.5,58.8,42.0,14.5,19.2,34.2
Rhondda Cynon Taf,Trealaw 3,018F,W01001261,36.5,45.7,40.1,35.4,46.5,4.2,12.1,47.9
Rhondda Cynon Taf,Treforest 1,022D,W01001262,19.9,17.0,18.0,7.8,54.0,53.6,13.5,20.5
Rhondda Cynon Taf,Treforest 2,022E,W01001263,41.7,31.1,100.0,48.1,23.0,29.1,9.8,15.4
Rhondda Cynon Taf,Treforest 3,022F,W01001264,17.3,3.0,38.6,18.6,11.3,36.6,4.4,48.4
Rhondda Cynon Taf,Treherbert 1,007A,W01001265,22.0,25.0,17.5,41.3,25.0,10.1,3.7,9.2
Rhondda Cynon Taf,Treherbert 2,007B,W01001266,32.1,42.7,41.3,17.2,38.7,11.3,11.9,40.7
Rhondda Cynon Taf,Treherbert 3,007C,W01001267,40.4,59.0,36.3,27.0,22.7,11.1,26.7,56.8
Rhondda Cynon Taf,Treherbert 4,007D,W01001268,29.5,35.2,39.4,25.7,29.3,29.5,15.4,8.4
Rhondda Cynon Taf,Treorchy 1,010A,W01001269,13.3,12.1,9.6,21.7,18.9,21.3,5.8,8.7
Rhondda Cynon Taf,Treorchy 2,010B,W01001270,16.8,22.3,12.7,13.8,14.8,21.6,9.3,17.9
Rhondda Cynon Taf,Treorchy 3,010C,W01001271,30.0,38.9,21.9,33.1,21.7,6.5,30.1,24.1
Rhondda Cynon Taf,Treorchy 4,010D,W01001272,33.0,32.2,18.9,77.9,28.2,14.1,13.3,14.4
Rhondda Cynon Taf,Treorchy 5,010E,W01001273,15.7,19.7,9.7,14.3,12.3,18.4,7.3,30.5
Rhondda Cynon Taf,Tylorstown 1,013B,W01001274,67.3,98.2,97.4,42.0,79.4,0.6,16.3,32.3
Rhondda Cynon Taf,Tylorstown 2,013C,W01001275,37.9,42.9,63.6,37.0,28.0,3.6,15.8,27.7
Rhondda Cynon Taf,Tylorstown 3,013D,W01001276,44.8,58.8,70.2,34.1,51.8,0.9,3.2,43.3
Rhondda Cynon Taf,Tyn-y-nant 1,028D,W01001277,11.7,6.3,10.6,16.5,6.6,50.2,8.3,6.0
Rhondda Cynon Taf,Tyn-y-nant 2,028E,W01001278,28.7,37.5,51.4,18.9,16.2,21.8,5.1,8.2
Rhondda Cynon Taf,Tyn-y-nant 3,028F,W01001279,42.5,42.0,62.3,67.6,25.6,33.9,2.1,25.5
Rhondda Cynon Taf,Ynyshir 1,017E,W01001280,44.9,42.0,64.4,59.0,42.6,36.9,16.9,34.0
Rhondda Cynon Taf,Ynyshir 2,017F,W01001281,31.4,36.6,26.9,40.4,23.1,33.5,10.1,37.9
Rhondda Cynon Taf,Ynysybwl 1,015C,W01001282,34.9,36.3,53.0,34.6,34.2,2.4,29.9,19.5
Rhondda Cynon Taf,Ynysybwl 2,015D,W01001283,25.9,22.0,29.9,36.3,19.4,10.2,37.5,7.2
Rhondda Cynon Taf,Ynysybwl 3,015E,W01001284,8.0,4.1,10.4,9.7,3.1,21.5,13.2,0.6
Rhondda Cynon Taf,Ystrad 1,014D,W01001285,16.3,17.3,28.2,10.9,22.2,0.6,5.6,22.9
Rhondda Cynon Taf,Ystrad 2,014E,W01001286,29.3,33.5,18.5,35.9,25.9,38.5,11.5,46.2
Rhondda Cynon Taf,Ystrad 3,014F,W01001287,24.8,37.8,19.2,14.8,26.4,28.1,11.6,15.7
Rhondda Cynon Taf,Ystrad 4,014G,W01001288,28.6,32.5,22.6,35.0,52.3,16.4,11.1,28.4
Merthyr Tydfil,Bedlinog 1,006A,W01001289,22.8,16.7,51.1,8.1,24.2,0.6,38.0,9.9
Merthyr Tydfil,Bedlinog 2,007A,W01001290,30.8,36.9,30.8,34.2,35.1,15.0,20.9,18.0
Merthyr Tydfil,Cyfarthfa 1,003A,W01001291,31.3,29.1,29.8,43.6,27.0,9.2,46.6,9.8
Merthyr Tydfil,Cyfarthfa 2,004A,W01001292,63.3,58.7,90.3,72.9,91.6,12.2,40.8,54.7
Merthyr Tydfil,Cyfarthfa 3,004B,W01001293,33.0,35.1,24.7,63.4,20.9,6.4,29.5,3.5
Merthyr Tydfil,Cyfarthfa 4,003B,W01001294,9.7,2.4,4.2,11.7,5.5,10.9,41.4,2.1
Merthyr Tydfil,Dowlais 1,002A,W01001295,37.8,45.1,49.3,40.9,46.6,23.9,9.5,16.2
Merthyr Tydfil,Dowlais 2,002B,W01001296,28.9,19.1,21.0,78.7,31.2,11.7,18.0,5.2
Merthyr Tydfil,Dowlais 3,002C,W01001297,22.3,17.2,25.0,32.2,41.8,27.8,9.4,17.1
Merthyr Tydfil,Dowlais 4,002D,W01001298,33.1,31.8,46.8,47.4,35.7,33.7,0.3,24.7
Merthyr Tydfil,Gurnos 1,001A,W01001299,57.5,66.0,75.6,70.2,86.9,12.5,10.8,30.3
Merthyr Tydfil,Gurnos 2,001B,W01001300,70.1,92.9,76.9,83.1,94.3,6.8,16.5,29.8
Merthyr Tydfil,Gurnos 3,001C,W01001301,56.3,67.6,56.8,93.6,76.9,2.9,1.6,28.0
Merthyr Tydfil,Merthyr Vale 1,006B,W01001302,35.8,34.8,40.2,57.8,44.6,22.2,11.7,21.0
Merthyr Tydfil,Merthyr Vale 2,006C,W01001303,59.1,79.0,62.7,74.6,52.7,29.4,9.6,24.6
Merthyr Tydfil,Merthyr Vale 3,006D,W01001304,22.4,22.6,30.5,29.1,17.5,26.4,3.2,18.8
Merthyr Tydfil,Park 1,003C,W01001305,12.4,6.6,11.5,23.5,42.4,12.2,1.0,9.5
Merthyr Tydfil,Park 2,003D,W01001306,9.3,11.5,6.2,2.9,24.4,9.4,5.3,15.2
Merthyr Tydfil,Park 3,004C,W01001307,21.2,22.9,24.0,14.9,58.5,9.1,7.0,24.1
Merthyr Tydfil,Penydarren 1,001D,W01001308,71.5,94.3,79.4,100.0,76.2,3.5,12.3,19.8
Merthyr Tydfil,Penydarren 2,001E,W01001309,41.0,42.2,47.1,68.9,30.6,20.3,6.1,39.6
Merthyr Tydfil,Penydarren 3,002E,W01001310,19.4,9.4,16.6,64.0,18.3,14.4,1.2,1.8
Merthyr Tydfil,Penydarren 4,002F,W01001311,28.8,25.8,38.3,34.1,46.5,29.5,4.0,36.5
Merthyr Tydfil,Plymouth (Merthyr Tydfil) 1,006E,W01001312,29.3,33.3,23.3,44.9,17.9,23.6,13.5,27.5
Merthyr Tydfil,Plymouth (Merthyr Tydfil) 2,006F,W01001313,19.9,21.7,20.5,11.3,55.7,24.3,5.6,19.2
Merthyr Tydfil,Plymouth (Merthyr Tydfil) 3,005A,W01001314,20.4,24.5,16.3,6.2,15.8,24.1,21.9,45.0
Merthyr Tydfil,Town 1,004D,W01001315,23.9,24.4,23.2,25.4,58.7,45.5,1.2,8.5
Merthyr Tydfil,Town 2,005B,W01001316,15.2,11.7,8.6,38.1,14.2,16.9,3.6,11.9
Merthyr Tydfil,Town 3,005C,W01001317,23.4,22.6,23.1,43.5,20.1,16.2,9.2,11.3
Merthyr Tydfil,Town 4,005D,W01001318,10.1,12.3,11.8,6.2,13.6,3.9,4.6,16.5
Merthyr Tydfil,Treharris 1,007B,W01001319,6.8,3.8,5.8,10.4,7.7,7.4,11.2,6.9
Merthyr Tydfil,Treharris 2,007C,W01001320,16.9,26.7,27.7,2.2,20.4,4.8,4.5,5.6
Merthyr Tydfil,Treharris 3,007D,W01001321,27.8,34.0,36.3,23.8,44.3,13.7,7.8,16.6
Merthyr Tydfil,Treharris 4,007E,W01001322,32.0,23.9,52.4,55.8,42.0,16.7,0.7,23.7
Merthyr Tydfil,Vaynor 1,001F,W01001323,31.1,22.6,32.5,58.4,23.0,2.4,47.0,4.1
Merthyr Tydfil,Vaynor 2,003E,W01001324,13.3,11.9,12.2,6.2,21.1,2.8,35.2,2.8
Caerphilly,Aberbargoed 1,003A,W01001325,34.0,41.4,53.4,32.0,31.5,10.6,13.9,8.3
Caerphilly,Aberbargoed 2,003B,W01001326,34.8,39.8,48.8,32.6,48.3,26.5,7.5,21.7
Caerphilly,Abercarn 1,014A,W01001327,16.5,14.6,11.9,28.2,23.4,21.3,6.5,15.0
Caerphilly,Abercarn 2,014B,W01001328,23.1,30.2,33.9,17.7,22.4,22.8,5.1,3.4
Caerphilly,Abercarn 3,014C,W01001329,19.0,23.7,21.2,14.6,20.6,27.9,5.8,14.8
Caerphilly,Aber Valley 1,018A,W01001330,27.3,32.1,44.1,25.1,16.1,4.5,17.2,13.5
Caerphilly,Aber Valley 2,018B,W01001331,29.1,34.0,37.4,23.2,29.8,4.1,20.6,35.7
Caerphilly,Aber Valley 3,018C,W01001332,36.4,42.3,36.6,47.8,29.0,4.2,29.2,24.3
Caerphilly,Aber Valley 4,018D,W01001333,36.4,43.7,49.2,37.7,34.8,2.7,19.9,23.7
Caerphilly,Argoed (Caerphilly) 1,005A,W01001334,31.7,50.7,47.4,14.5,38.2,0.7,3.2,7.5
Caerphilly,Argoed (Caerphilly) 2,005B,W01001335,24.0,26.4,23.5,8.0,45.5,3.8,41.6,19.7
Caerphilly,Bargoed 1,004A,W01001336,22.9,27.6,19.3,31.2,28.7,13.4,6.6,18.1
Caerphilly,Bargoed 2,004B,W01001337,23.2,27.3,15.7,39.2,32.6,26.8,3.5,2.8
Caerphilly,Bargoed 3,004C,W01001338,27.3,32.9,31.0,33.7,44.1,10.3,4.5,12.7
Caerphilly,Bargoed 4,004D,W01001339,60.9,88.0,53.6,77.6,68.7,7.3,6.7,32.2
Caerphilly,"Bedwas, Trethomas and Machen 1",020A,W01001340,8.7,2.8,6.7,17.5,5.6,8.9,20.4,3.6
Caerphilly,"Bedwas, Trethomas and Machen 2",020B,W01001341,34.5,53.2,34.3,44.6,16.2,11.2,0.4,7.9
Caerphilly,"Bedwas, Trethomas and Machen 3",021A,W01001342,8.7,6.6,7.8,6.6,11.4,20.9,12.0,7.9
Caerphilly,"Bedwas, Trethomas and Machen 4",021B,W01001343,9.6,7.5,4.3,9.7,7.3,14.4,25.0,2.7
Caerphilly,"Bedwas, Trethomas and Machen 5",020C,W01001344,10.9,16.1,8.2,10.5,12.7,14.9,1.1,4.0
Caerphilly,"Bedwas, Trethomas and Machen 6",021C,W01001345,63.0,86.4,74.9,66.9,81.0,0.6,11.5,31.1
Caerphilly,"Bedwas, Trethomas and Machen 7",020D,W01001346,12.5,14.9,15.7,9.6,17.1,2.8,6.8,14.5
Caerphilly,Blackwood 1,005C,W01001347,12.3,13.1,9.8,21.5,18.9,3.8,5.1,5.2
