"Community safety and social inclusion > Welsh Index of Multiple Deprivation > Archive > Pre WIMD 2014 indicator data > Indicator data by Lower Layer Super Output Areas"
"Indicator data by Lower Layer Super Output Areas"

Filters:
Year: WIMD 2011

"","","","employment-related benefits (% of working-age population) (1)","income-related benefits - Child Index (% 0-18 year olds) (2)","income-related benefits (% of population) (3)","Key Stage 2 mean points score (4)","Key Stage 3 mean points score (4)","Key Stage 4 mean points score (5)","low birth weight (% of live singleton babies) (6)","Primary School absence rate (% of half day sessions missed) (7)","Secondary School absence rate (% of half day sessions missed) (8)"
"W01000242 ","Wales ","Denbighshire 014A ",11,21,16.6,82,99,487,3.3,4.5,8.2
"W01000243 ","Wales ","Denbighshire 014B ",10,12.4,12.3,86,110,640,2.4,4.7,4.7
"W01000244 ","Wales ","Denbighshire 014C ",5,8.1,5.4,85,109,622,8.1,3.9,5.8
"W01000245 ","Wales ","Denbighshire 010A ",8,11.7,10.7,83,105,394,7.9,3.8,7.2
"W01000246 ","Wales ","Denbighshire 010B ",16,28.7,19.2,78,97,301,3.9,6.7,11.7
"W01000247 ","Wales ","Denbighshire 010C ",11,10.2,10.6,82,104,395,4.7,4.8,7.6
"W01000248 ","Wales ","Denbighshire 008D ",6,11.7,7.7,83,102,400,9.2,4.5,6.5
"W01000249 ","Wales ","Flintshire 014A ",7,13.9,8.1,86,103,420,4.9,4.2,5.5
"W01000250 ","Wales ","Flintshire 014B ",8,7.5,6.9,85,108,474,3.4,4.8,5.6
"W01000251 ","Wales ","Flintshire 013A ",10,25.6,16.9,81,108,400,3.3,6.2,8.8
"W01000252 ","Wales ","Flintshire 010A ",10,10.7,7.8,82,102,402,2.8,8.4,6.6
"W01000253 ","Wales ","Flintshire 003A ",14,23.1,17,80,103,339,6.5,6.2,7.9
"W01000254 ","Wales ","Flintshire 003B ",20,31.5,24.1,81,99,310,6.3,7.5,9.2
"W01000255 ","Wales ","Flintshire 015A ",8,14.2,10.4,87,110,416,4.1,5.5,7.3
"W01000256 ","Wales ","Flintshire 015B ",9,19.6,14.7,82,105,419,6.8,5.6,6.5
"W01000257 ","Wales ","Flintshire 015C ",6,10,6.1,85,106,388,6,4.3,5.6
"W01000258 ","Wales ","Flintshire 006A ",8,11.8,9.5,84,105,361,3.6,5.5,7.3
"W01000259 ","Wales ","Flintshire 017A ",15,27.2,19.9,82,108,410,6.4,6.4,9.5
"W01000260 ","Wales ","Flintshire 017B ",8,11.2,7.9,81,109,411,9.2,5.2,7.3
"W01000261 ","Wales ","Flintshire 014C ",8,11.1,9.5,86,105,429,9.2,4.6,5.5
"W01000262 ","Wales ","Flintshire 017C ",14,24.6,18.2,75,100,375,5.8,6.9,8.6
"W01000263 ","Wales ","Flintshire 017D ",20,37.3,28.1,80,100,327,3.2,7.6,10.3
"W01000264 ","Wales ","Flintshire 012A ",8,16.7,11.9,82,109,402,5,6.4,7.8
"W01000265 ","Wales ","Flintshire 012B ",8,7.1,9.1,86,112,456,4.2,5,6.5
"W01000266 ","Wales ","Flintshire 017E ",10,13.9,11.2,84,106,417,8.9,6.1,6.3
"W01000267 ","Wales ","Flintshire 017F ",9,14.1,10.4,85,105,350,2.7,4.8,8.3
"W01000268 ","Wales ","Flintshire 013B ",4,3.4,4.1,84,116,467,4.5,4.7,4.9
"W01000269 ","Wales ","Flintshire 020A ",13,18.8,16.8,87,100,335,3.5,6.6,7.1
"W01000270 ","Wales ","Flintshire 006B ",6,6.9,6.4,86,105,423,3.4,4.4,5.9
"W01000271 ","Wales ","Flintshire 006C ",9,8.4,9.6,82,104,376,4.7,5.3,7.5
"W01000272 ","Wales ","Flintshire 006D ",7,7.9,6.1,86,111,464,7.3,4.8,5.6
"W01000273 ","Wales ","Flintshire 007A ",17,34.3,21.2,79,99,361,9.1,7.4,9
"W01000274 ","Wales ","Flintshire 007B ",23,40.4,31.3,81,99,395,8.3,7.5,11.5
"W01000275 ","Wales ","Flintshire 007C ",9,14.4,10.3,85,107,377,7.3,4.7,7.3
"W01000276 ","Wales ","Flintshire 008A ",8,19,12.7,80,105,414,5.4,6.2,6.6
"W01000277 ","Wales ","Flintshire 008B ",8,25.3,14.2,80,102,408,4,5.5,6.6
"W01000278 ","Wales ","Flintshire 007D ",23,54,37.5,77,96,324,8.4,6.7,11.2
"W01000279 ","Wales ","Flintshire 008C ",8,8,10,83,109,410,2.1,7.1,7.5
"W01000280 ","Wales ","Flintshire 010B ",10,19.2,13.4,82,104,426,5.5,5.6,6.6
"W01000281 ","Wales ","Flintshire 008D ",10,14.9,10,86,100,391,3.7,7.3,8.3
"W01000282 ","Wales ","Flintshire 010C ",3,4.3,4.5,84,110,455,3.6,4.7,5.7
"W01000283 ","Wales ","Flintshire 008E ",10,18.2,12.6,81,98,357,4.8,6.9,8.1
"W01000284 ","Wales ","Flintshire 013C ",5,5.4,5.2,89,114,473,6.5,4.4,5.5
"W01000285 ","Wales ","Flintshire 013D ",5,3.5,3.7,88,115,486,2.2,3.8,5.2
"W01000286 ","Wales ","Flintshire 013E ",5,9.1,6.3,87,111,450,4.8,4.6,5.6
"W01000287 ","Wales ","Flintshire 001A ",14,20.5,17.2,81,96,321,5.2,5.6,8.4
"W01000288 ","Wales ","Flintshire 004A ",25,41.5,33,76,95,304,4.9,7.7,10.1
"W01000289 ","Wales ","Flintshire 005A ",8,13.6,8.9,86,103,392,4.2,5.1,6.7
"W01000290 ","Wales ","Flintshire 004B ",21,34,26.9,84,92,323,3.2,6.2,12.2
"W01000291 ","Wales ","Flintshire 005B ",12,22.2,15,80,101,347,5.4,5.3,8.6
"W01000292 ","Wales ","Flintshire 004C ",19,34.6,27.1,77,96,278,7.4,7.4,10.9
"W01000293 ","Wales ","Flintshire 004D ",16,22.6,17.6,76,101,372,7.8,7.4,10.3
"W01000294 ","Wales ","Flintshire 005C ",7,11,7.1,81,106,390,4.6,5.4,6.9
"W01000295 ","Wales ","Flintshire 005D ",12,26.2,14.7,84,104,351,7.5,6,7.8
"W01000296 ","Wales ","Flintshire 003C ",22,44.8,29.4,81,88,344,6.4,7.1,12.8
"W01000297 ","Wales ","Flintshire 003D ",10,19.1,15.2,82,99,364,3,5.5,6.8
"W01000298 ","Wales ","Flintshire 001B ",17,33.8,20.9,82,99,344,9.5,6.7,9.7
"W01000299 ","Wales ","Flintshire 019A ",6,7.5,7.3,86,110,443,3.4,5.1,6.8
"W01000300 ","Wales ","Flintshire 019B ",6,9.2,7,85,107,381,3.7,5.2,6.1
"W01000301 ","Wales ","Flintshire 006E ",7,10.3,9,83,111,445,9.1,4.9,5.6
"W01000302 ","Wales ","Flintshire 013F ",7,4.7,5.9,87,112,447,4.8,4.3,5.3
"W01000303 ","Wales ","Flintshire 018A ",4,6.3,4.7,83,114,470,4.1,4.3,4.2
"W01000304 ","Wales ","Flintshire 003E ",29,51.6,36.3,80,92,287,7.8,7.1,10.6
"W01000305 ","Wales ","Flintshire 003F ",12,21.6,14.8,84,103,372,4.3,7,7.8
"W01000306 ","Wales ","Flintshire 002A ",16,32.2,20.2,81,98,339,6.7,7.4,9.7
"W01000307 ","Wales ","Flintshire 020B ",5,3.7,4.8,89,108,446,4.5,4.1,4
"W01000308 ","Wales ","Flintshire 020C ",10,15.8,13.1,87,109,381,5.3,5.6,6.5
"W01000309 ","Wales ","Flintshire 019C ",11,19.4,14.3,85,101,402,7,6,6.6
"W01000310 ","Wales ","Flintshire 020D ",7,11,8.8,86,106,419,4.5,5.3,6.5
"W01000311 ","Wales ","Flintshire 011A ",11,21,14.9,83,102,383,3.4,5.6,7.6
"W01000312 ","Wales ","Flintshire 011B ",15,34.3,20.4,82,96,384,7,7.7,8.9
"W01000313 ","Wales ","Flintshire 016A ",13,21.9,15.1,84,102,405,4.2,5.9,8.5
"W01000314 ","Wales ","Flintshire 016B ",13,17.8,16.5,83,108,398,4.9,5.8,10.5
"W01000315 ","Wales ","Flintshire 016C ",13,14.4,12.6,82,105,370,6.6,5.2,7.7
"W01000316 ","Wales ","Flintshire 016D ",5,9.7,6.6,88,108,429,4.3,4.6,6.2
"W01000317 ","Wales ","Flintshire 016E ",4,2,2.2,91,115,484,1.4,3.4,3.8
"W01000318 ","Wales ","Flintshire 016F ",24,45.5,33.3,74,98,344,8.5,7.5,11.7
"W01000319 ","Wales ","Flintshire 016G ",17,18,15.9,77,101,368,8,6.2,10
"W01000320 ","Wales ","Flintshire 002B ",16,32.9,22,78,95,321,5.5,6.5,9.4
"W01000321 ","Wales ","Flintshire 014D ",7,6.9,6.1,85,106,410,4.2,4.5,5.1
"W01000322 ","Wales ","Flintshire 014E ",9,13,9.6,88,105,444,3.6,5.1,5.3
"W01000323 ","Wales ","Flintshire 012C ",7,14.2,9.2,88,104,452,1.8,5,5.9
"W01000324 ","Wales ","Flintshire 012D ",6,6.4,5.2,83,113,459,2.1,4.5,5.1
"W01000325 ","Wales ","Flintshire 010D ",7,8.2,6.8,89,110,434,3.3,4.3,5.5
"W01000326 ","Wales ","Flintshire 018B ",7,8.9,7.8,86,107,401,5.3,4.7,5.1
"W01000327 ","Wales ","Flintshire 018C ",6,6.7,6.2,83,109,398,3.4,5.2,5.4
"W01000328 ","Wales ","Flintshire 011C ",14,34.7,21.4,83,100,333,3.6,17.7,8.9
"W01000329 ","Wales ","Flintshire 015D ",13,32.1,21,78,97,322,4.5,6.8,11.9
"W01000330 ","Wales ","Flintshire 015E ",15,32.4,23.8,75,100,337,5.5,6.4,10.2
"W01000331 ","Wales ","Flintshire 015F ",8,20.7,11.8,82,103,389,6.5,6.5,8.6
"W01000332 ","Wales ","Flintshire 009A ",11,26.3,15.8,79,98,375,8.7,8,10.2
"W01000333 ","Wales ","Flintshire 009B ",21,47,32.5,80,98,358,7.4,8,8.6
"W01000334 ","Wales ","Flintshire 009C ",16,25.3,18.6,80,99,339,5.4,6.8,7.8
"W01000335 ","Wales ","Flintshire 009D ",20,37.4,28.8,79,93,317,6.1,8,10.3
"W01000336 ","Wales ","Flintshire 009E ",25,58.9,40,76,89,248,10.6,9.1,12.8
"W01000337 ","Wales ","Flintshire 009F ",13,16.3,14.6,82,100,371,5.6,5.4,7.1
"W01000338 ","Wales ","Flintshire 001C ",8,16.1,11,81,103,415,4.9,4.9,7.5
"W01000339 ","Wales ","Flintshire 019D ",8,13.3,11.5,84,108,401,2.5,4.9,6.9
"W01000340 ","Wales ","Flintshire 002C ",6,5.5,6.9,86,105,404,3.6,5.7,5.4
"W01000341 ","Wales ","Wrexham 009A ",13,22.2,16.2,82,100,408,4,5.3,7.6
"W01000342 ","Wales ","Wrexham 009B ",20,29.3,24.5,84,99,410,6.7,6.8,9.5
"W01000343 ","Wales ","Wrexham 007A ",6,"*",3.7,89,111,554,5,3.3,5.1
"W01000344 ","Wales ","Wrexham 007B ",8,8.3,5.9,88,113,449,2.2,3.6,5.8
"W01000345 ","Wales ","Wrexham 018A ",6,6.9,5.4,92,110,468,4.1,4.3,5.5
"W01000346 ","Wales ","Wrexham 018B ",4,6,6.2,82,111,486,5.1,4.8,5.6
"W01000347 ","Wales ","Wrexham 006A ",10,14.2,12,80,94,385,5.8,7.6,5.9
"W01000348 ","Wales ","Wrexham 006B ",21,38.1,27.2,77,95,328,4.8,7.4,9.6
"W01000349 ","Wales ","Wrexham 011A ",13,17.8,15.5,83,102,407,6.9,4.8,6.3
"W01000350 ","Wales ","Wrexham 011B ",9,25.2,14.5,81,93,392,6.1,6.9,10.7
"W01000351 ","Wales ","Wrexham 005A ",12,24,15.5,78,97,372,5.3,7.3,7.9
"W01000352 ","Wales ","Wrexham 010A ",20,32.4,22.9,81,102,408,5.2,6.4,8.4
"W01000353 ","Wales ","Wrexham 010B ",28,48.3,36.2,78,89,347,6.5,7.9,10.9
"W01000354 ","Wales ","Wrexham 017A ",14,15.5,13.9,83,100,476,4.7,6.4,8
"W01000355 ","Wales ","Wrexham 017B ",18,29,25.4,84,99,405,5.9,7,9.4
"W01000356 ","Wales ","Wrexham 017C ",18,28.1,21.8,80,96,413,4.7,7.3,9.2
"W01000357 ","Wales ","Wrexham 019A ",7,7.7,6.6,86,106,511,8,3.8,6.8
"W01000358 ","Wales ","Wrexham 019B ",9,22.6,15.7,83,101,502,4.9,4.8,8
"W01000359 ","Wales ","Wrexham 019C ",10,20.8,15.2,88,104,483,1.4,5.4,6.7
"W01000360 ","Wales ","Wrexham 019D ",17,30.3,21.9,85,94,437,5.5,5.1,9.1
"W01000361 ","Wales ","Wrexham 019E ",10,17,14.2,82,97,417,4.2,4.7,8.8
"W01000362 ","Wales ","Wrexham 006C ",18,33.5,25,74,95,310,5.9,6.4,9.9
"W01000363 ","Wales ","Wrexham 006D ",10,14.9,14.6,84,106,467,3.1,4.7,4.5
"W01000364 ","Wales ","Wrexham 006E ",9,12.3,10.8,84,105,426,4.5,5.5,5.2
"W01000365 ","Wales ","Wrexham 011C ",9,10.4,9.9,85,106,462,6.5,5.2,5
"W01000366 ","Wales ","Wrexham 014A ",14,22.3,17.5,80,101,363,8.5,5.3,7.1
"W01000367 ","Wales ","Wrexham 014B ",9,9.3,8.5,83,110,412,5.4,4.9,5.4
"W01000368 ","Wales ","Wrexham 008A ",7,6.8,4.9,86,111,445,2.1,3.7,5.2
"W01000369 ","Wales ","Wrexham 020F ",7,10.6,9.4,87,108,412,2.1,4.4,6.8
"W01000370 ","Wales ","Wrexham 020G ",9,4.6,9.2,83,111,482,5.9,3.6,5.4
"W01000371 ","Wales ","Wrexham 008B ",12,11.6,13.5,84,106,496,7.2,4.7,6.6
"W01000372 ","Wales ","Wrexham 008C ",19,22.5,20.8,81,101,439,4,6,9.3
"W01000373 ","Wales ","Wrexham 005B ",21,34,28.4,77,97,325,7.6,7.4,11.1
"W01000374 ","Wales ","Wrexham 003A ",16,29.8,21.3,82,98,397,7.4,5.9,8.1
"W01000375 ","Wales ","Wrexham 003B ",7,12.1,10,83,102,397,5.3,5.4,6.6
"W01000376 ","Wales ","Wrexham 003C ",9,9.3,7.4,81,105,392,5.1,5.4,6.1
"W01000377 ","Wales ","Wrexham 004A ",10,13.5,11.5,79,97,378,3.5,6.9,7.4
"W01000378 ","Wales ","Wrexham 004B ",20,36.8,27.8,80,92,299,7.5,7.2,8.3
"W01000379 ","Wales ","Wrexham 004C ",20,34.5,28,80,94,316,7.3,7.1,10.2
"W01000380 ","Wales ","Wrexham 004D ",10,7.5,9.3,82,107,463,3.2,5.2,5
"W01000381 ","Wales ","Wrexham 012A ",16,15.6,16.6,85,102,425,4.5,6,6.5
"W01000382 ","Wales ","Wrexham 012B ",25,32.5,28.4,81,95,311,6.4,6.6,12.2
"W01000383 ","Wales ","Wrexham 020A ",7,9.9,8.1,89,106,471,4.9,4.1,5.8
"W01000384 ","Wales ","Wrexham 020B ",4,9.9,8.1,84,109,415,1.8,4.4,5.9
"W01000385 ","Wales ","Wrexham 014C ",9,12.1,7.2,83,103,501,6,4.5,6.9
"W01000386 ","Wales ","Wrexham 015A ",17,30,23.2,79,102,451,4.1,6.6,8.5
"W01000387 ","Wales ","Wrexham 008D ",7,9.3,6.5,78,106,496,1.8,4,5.2
"W01000388 ","Wales ","Wrexham 008E ",10,15.1,10.5,88,108,436,5.7,4.6,5.6
"W01000389 ","Wales ","Wrexham 017D ",8,11.3,10.8,87,97,480,2.2,4.9,6.9
"W01000390 ","Wales ","Wrexham 020C ",7,13.8,9.2,82,106,429,2.7,5.1,6.9
"W01000391 ","Wales ","Wrexham 003D ",9,12.9,9.7,83,103,397,4.7,5.5,7.8
"W01000392 ","Wales ","Wrexham 003E ",17,38.2,28.3,76,95,281,4.3,6.6,11.7
"W01000393 ","Wales ","Wrexham 009C ",14,18.7,15.1,84,101,458,3.7,5.9,7
"W01000394 ","Wales ","Wrexham 016A ",6,14.7,7.4,86,106,566,5.7,4.7,5.7
"W01000395 ","Wales ","Wrexham 016B ",9,11.9,10,84,106,568,5.1,7.7,9.6
"W01000396 ","Wales ","Wrexham 020H ",4,7.4,5.4,89,114,512,7.4,3.9,5.6
"W01000397 ","Wales ","Wrexham 020I ",3,2,2.1,90,116,501,5.8,4.2,3.6
"W01000398 ","Wales ","Wrexham 013A ",10,25.1,13.7,86,100,367,3.6,5.4,8.9
"W01000399 ","Wales ","Wrexham 013B ",7,8.1,7.7,90,107,468,4.3,4.6,6.6
"W01000400 ","Wales ","Wrexham 005C ",9,18.8,14.4,79,101,388,6.6,6.9,8.3
"W01000401 ","Wales ","Wrexham 005D ",15,35.4,21.8,80,96,344,5.6,6.6,8.5
"W01000402 ","Wales ","Wrexham 011D ",11,14.2,13.5,83,103,427,5.7,6.3,7.7
"W01000403 ","Wales ","Wrexham 018C ",6,9.2,8.1,86,112,536,1.7,4.4,6.2
"W01000404 ","Wales ","Wrexham 018D ",6,14.1,9.8,86,109,566,3.6,4.3,6.7
"W01000405 ","Wales ","Wrexham 015B ",18,43.7,27.4,77,96,413,6.1,6.7,9.7
"W01000406 ","Wales ","Wrexham 013C ",18,39.1,26.8,77,94,384,6.1,7.8,9.3
"W01000407 ","Wales ","Wrexham 016C ",7,9.5,7.9,88,110,452,1.5,4.2,6.2
"W01000408 ","Wales ","Wrexham 013D ",19,27.7,19.4,78,101,413,3,6,7.1
"W01000409 ","Wales ","Wrexham 017E ",33,54.2,46.9,78,87,332,8.6,7.9,13.2
"W01000410 ","Wales ","Wrexham 014D ",10,15.9,12.1,80,103,517,3.9,6.5,5.6
"W01000411 ","Wales ","Wrexham 015C ",19,33.8,26.2,80,102,446,4.8,7.3,9.1
"W01000412 ","Wales ","Wrexham 015D ",14,14.6,13.8,84,101,451,8.9,6.3,6.6
"W01000413 ","Wales ","Wrexham 010C ",36,73.5,59.9,75,88,302,7.2,7,13.2
"W01000414 ","Wales ","Wrexham 010D ",23,52.7,37.7,78,96,309,6.3,7.6,12.4
"W01000415 ","Wales ","Wrexham 007C ",11,14.2,11.3,88,101,406,2.1,4.9,6.4
"W01000416 ","Wales ","Wrexham 007D ",5,3.4,3.7,87,109,474,9.5,4.1,4.6
"W01000417 ","Wales ","Wrexham 020D ",4,5.7,3.6,91,111,504,4.6,4.5,5.9
"W01000418 ","Wales ","Wrexham 020E ",9,11.1,9.8,86,106,444,2.8,5.3,8.3
"W01000419 ","Wales ","Wrexham 016D ",15,33,22.6,81,99,417,4.9,7,10.1
"W01000420 ","Wales ","Wrexham 016E ",14,16.7,13.7,84,101,432,4.9,5.5,8.1
"W01000421 ","Wales ","Wrexham 012C ",20,29.1,24.6,74,94,305,5.6,7.5,10.2
"W01000422 ","Wales ","Wrexham 008F ",12,16,13.5,83,103,433,6.7,4.8,7.8
"W01000423 ","Wales ","Wrexham 012D ",15,32.6,23.4,81,94,340,6.5,6.4,10
"W01000424 ","Wales ","Wrexham 012E ",13,21.8,15.5,82,94,399,7.8,5.5,9.8
"W01000425 ","Wales ","Wrexham 010E ",32,60.9,45.3,76,85,277,9.8,8.6,14.5
"W01000426 ","Wales ","Powys 021A ",19,17.2,15,87,99,409,5.6,6.3,8.3
"W01000427 ","Wales ","Powys 011A ",7,23.6,13.1,84,103,398,4.7,6.1,8.9
"W01000428 ","Wales ","Powys 005A ",6,12.3,9.2,82,109,432,5.4,5.6,6.7
"W01000429 ","Wales ","Powys 010A ",6,11.1,8,81,110,436,2.8,6.4,7.4
"W01000430 ","Wales ","Powys 015A ",8,8.7,7.2,86,106,416,2.1,5.9,9.3
"W01000431 ","Wales ","Powys 014A ",12,19.5,15.6,79,102,388,5.4,7.1,11.2
"W01000432 ","Wales ","Powys 014B ",3,4.4,5.1,85,112,437,3.9,5,9
"W01000433 ","Wales ","Powys 006A ",10,16.4,12,82,104,436,4.7,7.2,8.6
"W01000434 ","Wales ","Powys 007A ",8,8.6,9.2,84,114,426,3.2,5.6,6.1
"W01000435 ","Wales ","Powys 018A ",7,9.5,6.7,88,114,470,4.5,5.4,7.7
"W01000436 ","Wales ","Powys 018B ",8,10.7,10.3,85,108,452,4.5,5.3,7.5
"W01000437 ","Wales ","Powys 019B ",17,16.8,16.4,85,102,349,4.6,6.3,8.2
"W01000438 ","Wales ","Powys 012A ",17,24.2,17.8,85,102,425,11,6.4,8.6
"W01000439 ","Wales ","Powys 007B ",5,10.5,7.4,86,110,459,4.6,5,6.8
"W01000440 ","Wales ","Powys 020A ",4,9.3,5,85,111,477,3.1,5.3,7.3
"W01000441 ","Wales ","Powys 005B ",5,5.9,6.2,85,112,486,2.1,5.7,5.7
"W01000442 ","Wales ","Powys 004A ",8,11.6,9.4,82,102,434,3.4,5.9,8.4
"W01000443 ","Wales ","Powys 015B ",5,4.8,5.2,82,111,488,3.1,4.5,6.6
"W01000444 ","Wales ","Powys 002A ",6,9.9,8.3,84,108,490,4.1,5.2,6.5
"W01000445 ","Wales ","Powys 015C ",7,15.7,9.7,80,110,439,7.6,6,8.1
"W01000446 ","Wales ","Powys 015D ",11,19.7,15.5,81,102,359,2.1,5.7,10.2
"W01000447 ","Wales ","Powys 007C ",7,12.5,9.8,84,107,495,4.1,5.2,8.5
"W01000448 ","Wales ","Powys 011B ",9,23,14.4,78,102,326,4.9,6.7,10.1
"W01000449 ","Wales ","Powys 011C ",8,11.6,11.1,81,102,363,6.4,5.4,8.7
"W01000450 ","Wales ","Powys 014C ",5,8.2,6,84,105,435,5.3,5.9,8.7
"W01000451 ","Wales ","Powys 012B ",7,19.5,11.1,83,102,408,4.3,5.4,7.3
"W01000452 ","Wales ","Powys 004B ",9,13.5,10.6,82,102,440,5.1,5.4,8
"W01000453 ","Wales ","Powys 010B ",7,11.8,8,81,111,503,4.3,7.2,7.7
"W01000454 ","Wales ","Powys 013A ",24,30.3,27,84,100,394,4,7.3,8.8
"W01000455 ","Wales ","Powys 013B ",18,38.3,23.4,82,100,388,6.2,8.4,9.9
"W01000456 ","Wales ","Powys 013C ",18,22.3,16.5,83,101,368,6.4,7,9.7
"W01000457 ","Wales ","Powys 002B ",5,8.4,7.4,84,111,521,4.9,4.6,7.1
"W01000458 ","Wales ","Powys 002C ",8,9.2,9.4,85,104,515,3.3,5,7.1
"W01000459 ","Wales ","Powys 014D ",8,10.1,8,85,113,352,6.5,5.6,8.8
"W01000460 ","Wales ","Powys 006B ",8,10.9,10.1,84,106,417,4.2,5.6,7.1
"W01000461 ","Wales ","Powys 001A ",10,15.4,13.2,87,104,465,8.7,6.6,8.1
"W01000462 ","Wales ","Powys 018C ",11,8.5,8.1,89,114,434,"*",4.8,8.6
"W01000463 ","Wales ","Powys 018D ",6,7.4,6.3,89,109,468,3,4.4,6.8
"W01000464 ","Wales ","Powys 011D ",7,10.6,8.7,80,108,417,3.3,6.3,8
"W01000465 ","Wales ","Powys 018E ",5,2.4,5.6,85,113,475,1.8,4.6,6.6
"W01000466 ","Wales ","Powys 010C ",10,20.9,13.8,78,107,434,5.2,5.6,7.3
"W01000467 ","Wales ","Powys 010D ",9,5.7,8.9,81,106,437,5.9,7.4,10.1
"W01000468 ","Wales ","Powys 001B ",5,9.7,8.6,86,110,546,8.1,6,8.2
"W01000469 ","Wales ","Powys 001C ",6,15.1,10.2,84,106,530,2.7,5.3,7.7
"W01000470 ","Wales ","Powys 001D ",6,16.8,10.4,84,106,523,3.6,4.7,8
"W01000471 ","Wales ","Powys 014E ",10,13.7,11.8,86,107,432,7.1,7,9.4
"W01000472 ","Wales ","Powys 012C ",8,7.2,8.2,85,111,451,5.4,4.7,7.3
"W01000473 ","Wales ","Powys 004C ",14,16,16.6,77,98,387,8.4,5.9,10
"W01000474 ","Wales ","Powys 020B ",6,7.7,6.4,85,100,390,3.5,5.9,10.2
"W01000475 ","Wales ","Powys 001E ",7,8,7.8,84,107,495,2.1,5.3,7.3
"W01000476 ","Wales ","Powys 005C ",7,12.7,9.7,88,112,442,6,5.2,5.1
"W01000477 ","Wales ","Powys 012D ",7,15,10.1,85,104,419,1.7,6,8.4
"W01000478 ","Wales ","Powys 009A ",19,33,24.9,81,100,454,4.5,6.6,10.3
"W01000479 ","Wales ","Powys 009B ",15,32.9,25.5,78,98,423,8.2,7.1,10.2
"W01000480 ","Wales ","Powys 008A ",16,27,22.3,74,101,438,5.4,6.5,10.7
"W01000481 ","Wales ","Powys 008B ",7,11.7,9.7,85,109,513,7.3,5.6,6.4
"W01000482 ","Wales ","Powys 008C ",9,8.4,8.8,84,106,504,7.2,5.1,9.3
"W01000483 ","Wales ","Powys 009C ",20,28.2,26.4,77,97,413,6.2,7.3,12.3
"W01000484 ","Wales ","Powys 011E ",6,9.5,8.7,87,111,410,5.8,6.1,7.8
"W01000485 ","Wales ","Powys 011F ",8,10.7,9.9,82,102,366,1.7,5.8,8.3
"W01000486 ","Wales ","Powys 011G ",10,14.5,14.3,85,103,407,4.8,5.8,7.9
"W01000487 ","Wales ","Powys 012E ",11,19.4,14.2,79,98,353,6.5,7.9,10.3
"W01000488 ","Wales ","Powys 006C ",7,9.5,8.1,85,107,426,6.9,5.6,6.9
"W01000489 ","Wales ","Powys 017A ",13,8.1,14,83,93,341,5.1,6.6,11.1
"W01000490 ","Wales ","Powys 017B ",7,7.9,7.2,84,103,372,3.7,4.8,8.6
"W01000491 ","Wales ","Powys 017C ",21,45.1,30.2,79,96,328,6.4,7.2,13.9
"W01000492 ","Wales ","Powys 017D ",10,12.8,12.1,83,110,361,4.5,4.6,8.3
"W01000493 ","Wales ","Powys 017E ",5,11,6,86,104,388,4.2,5.3,8.4
"W01000494 ","Wales ","Powys 015E ",9,11.3,9.8,82,107,424,8.2,5.1,9
"W01000495 ","Wales ","Powys 016C ",7,7.8,7.8,84,110,401,1.4,5.1,8
"W01000496 ","Wales ","Powys 021B ",15,15.9,13.8,83,102,360,4.3,7.1,8.5
"W01000497 ","Wales ","Powys 005D ",8,17.4,10.6,87,108,424,5.4,5.8,6.8
"W01000498 ","Wales ","Powys 003A ",17,29.5,26,79,99,370,6.9,7.2,10.4
"W01000499 ","Wales ","Powys 003B ",16,24.6,19.8,77,104,395,4.4,5.8,8
"W01000500 ","Wales ","Powys 003C ",9,20.3,13.2,77,106,425,5.3,6.2,7
"W01000501 ","Wales ","Powys 003D ",11,19.4,15.3,80,105,411,4,6,7.7
"W01000502 ","Wales ","Powys 021C ",18,16.6,13.5,83,105,398,6.5,5.7,6.6
"W01000503 ","Wales ","Powys 020C ",5,4.6,5,82,112,437,3.1,5.7,6.7
"W01000504 ","Wales ","Powys 021D ",33,41.1,31.4,79,93,348,6.1,7.6,10.9
"W01000505 ","Wales ","Powys 021E ",18,24.8,17.6,84,104,422,7.2,7.1,7.5
"W01000506 ","Wales ","Ceredigion 005A ",12,15.5,13.7,84,101,409,1,4.7,7.4
"W01000507 ","Wales ","Ceredigion 009A ",7,19,10.5,87,106,516,8.2,7.5,9.2
"W01000508 ","Wales ","Ceredigion 009B ",14,24,18.2,79,100,419,10.7,7.4,9.4
"W01000509 ","Wales ","Ceredigion 009C ",14,24.3,16.7,77,100,429,5.3,7.8,10.6
"W01000510 ","Wales ","Ceredigion 009D ",26,32.3,29.3,77,98,362,6.2,6.1,9.7
"W01000511 ","Wales ","Ceredigion 009E ",26,43.3,31.5,78,96,394,5.7,8.2,13.9
"W01000512 ","Wales ","Ceredigion 002A ",3,4.5,4.6,85,119,615,5.8,4.8,7.1
"W01000513 ","Wales ","Ceredigion 002B ",9,18.2,9.2,82,107,560,7.3,7.4,11.7
"W01000514 ","Wales ","Ceredigion 002C ",8,7.1,7.3,86,116,582,4,6,7.5
"W01000515 ","Wales ","Ceredigion 003A ",17,26.3,21.2,79,96,421,6.8,6.8,10
"W01000516 ","Wales ","Ceredigion 003B ",14,34.5,21.6,78,92,424,4.9,6.5,9.7
"W01000517 ","Wales ","Ceredigion 002D ",10,9.8,12.3,85,109,543,8.6,4.6,7.9
