"Community safety and social inclusion > Welsh Index of Multiple Deprivation > Archive > Pre WIMD 2014 indicator data > Indicator data by Lower Layer Super Output Areas"
"Indicator data by Lower Layer Super Output Areas"

Filters:
Year: WIMD 2011

"","","","employment-related benefits (% of working-age population) (1)","income-related benefits - Child Index (% 0-18 year olds) (2)","income-related benefits (% of population) (3)","Key Stage 2 mean points score (4)","Key Stage 3 mean points score (4)","Key Stage 4 mean points score (5)","low birth weight (% of live singleton babies) (6)","Primary School absence rate (% of half day sessions missed) (7)","Secondary School absence rate (% of half day sessions missed) (8)"
"W01000055 ","Wales ","Gwynedd 014B ",10,13,12.9,87,105,455,6.5,5.4,7.4
"W01000056 ","Wales ","Gwynedd 009A ",17,20,19.8,81,98,432,1.6,5.1,8.6
"W01000057 ","Wales ","Gwynedd 016C ",8,9.7,8.4,86,110,501,3.4,5.3,6.5
"W01000058 ","Wales ","Gwynedd 017B ",9,7.1,8.4,89,108,530,7.6,5.5,7.1
"W01000059 ","Wales ","Gwynedd 006A ",20,28.7,24.6,76,99,346,9,5.7,9.7
"W01000060 ","Wales ","Gwynedd 015B ",8,18.2,13.1,84,110,422,5.2,4.7,9.5
"W01000061 ","Wales ","Gwynedd 011B ",7,12.8,10.2,84,107,437,4.6,5.4,10.5
"W01000062 ","Wales ","Gwynedd 001A ",8,22.8,12.1,78,97,322,3.8,8.2,10.7
"W01000063 ","Wales ","Gwynedd 005A ",16,24.6,20.5,84,104,335,5.5,5.3,9.5
"W01000064 ","Wales ","Gwynedd 002A ",11,21.5,13.6,80,105,390,3.8,6.1,10.6
"W01000065 ","Wales ","Gwynedd 009B ",21,28.2,25.2,82,101,399,4.7,5.1,8
"W01000066 ","Wales ","Gwynedd 010A ",12,16.2,14.3,83,106,431,4.2,5.3,8.9
"W01000067 ","Wales ","Gwynedd 016D ",13,10,11.2,86,108,461,0.8,5.6,6.5
"W01000068 ","Wales ","Gwynedd 016E ",13,26.2,16.9,81,106,437,2.6,7.2,7.5
"W01000069 ","Wales ","Gwynedd 013A ",10,12.3,10.6,81,108,493,3.7,6,8.7
"W01000070 ","Wales ","Gwynedd 012A ",9,17,12.3,84,108,426,2,5.4,7.2
"W01000071 ","Wales ","Gwynedd 003B ",15,28.6,21.8,86,97,391,6.5,6.8,10.2
"W01000072 ","Wales ","Gwynedd 002B ",10,18.6,12.6,83,106,375,2.2,6.1,7.9
"W01000073 ","Wales ","Gwynedd 008A ",9,7.9,9.9,83,102,524,5.4,4.3,8.1
"W01000074 ","Wales ","Gwynedd 013B ",10,17,12,83,108,469,4.1,5,8.7
"W01000075 ","Wales ","Gwynedd 002C ",12,42.8,23,79,100,342,2.9,6.5,10.3
"W01000076 ","Wales ","Gwynedd 001B ",9,23.3,11.8,88,100,392,3.4,6.5,9.3
"W01000077 ","Wales ","Gwynedd 001C ",9,27.1,16,84,108,386,4,6.5,8.8
"W01000078 ","Wales ","Gwynedd 011C ",12,22.8,20,83,101,392,4.2,6.5,10.6
"W01000079 ","Wales ","Gwynedd 013C ",9,15.5,12.7,82,103,471,3.5,4.6,8.5
"W01000080 ","Wales ","Gwynedd 014C ",9,13.7,11.3,84,110,458,5.4,6.1,8.3
"W01000081 ","Wales ","Gwynedd 005B ",9,11.2,13.1,81,99,317,2.4,7.4,7.6
"W01000082 ","Wales ","Gwynedd 015C ",8,11.8,9.8,84,107,432,0.9,5.1,7.3
"W01000083 ","Wales ","Gwynedd 015D ",5,9.1,8.6,87,112,430,1.6,5.4,7.6
"W01000084 ","Wales ","Gwynedd 014D ",7,14.3,9.8,80,105,448,1.8,5.6,6.4
"W01000085 ","Wales ","Gwynedd 017C ",13,20.7,16.3,85,103,469,5.3,6,7.9
"W01000086 ","Wales ","Gwynedd 008B ",13,29.4,20.1,82,102,452,5.5,5.7,7.8
"W01000087 ","Wales ","Gwynedd 004C ",9,11,10.2,86,105,359,2.9,5.2,7.4
"W01000088 ","Wales ","Gwynedd 007B ",11,9.3,11.2,82,108,411,6.5,4.9,8.8
"W01000089 ","Wales ","Gwynedd 011D ",8,12,10.5,84,100,438,6.2,5.1,7.9
"W01000090 ","Wales ","Gwynedd 002D ",20,49,36.7,78,89,271,5.7,8,13.8
"W01000091 ","Wales ","Gwynedd 001D ",25,52.2,34.4,74,94,288,8.4,7.6,14.9
