la,ONS Name,LSOA Name,LSOA Code,Income domain_Child Index 2011,fsPhase1,fsPhase2,Child Index 2011,Education domain_Child Index 2011,Health domain_Child Index 2011,Community Safety domain_Child Index 2011,Enviroment domain_Child Index 2011,Access to Services domain_Child Index 2011,Housing domain_Child Index 2011,...2,...3,employment-related benefits (% of working-age population) (1),deprivation,income-related benefits (% of population) (3),Key Stage 2 mean points score (4),Key Stage 3 mean points score (4),Key Stage 4 mean points score (5),low birth weight (% of live singleton babies) (6),Primary School absence rate (% of half day sessions missed) (7),Secondary School absence rate (% of half day sessions missed) (8),k
Swansea,020D,Fairwood 2,W01000771,9.1,FALSE,FALSE,9.4,3.9,8.5,4.7,2.6,28.3,3.1,Wales,Swansea 020D,11,14.9,12.4,87,113,432,5.1,5.5,7.8,-29.95
Swansea,018A,Fairwood 1,W01000772,5.4,FALSE,FALSE,7.8,2.6,1.9,5,1.5,36.1,4.9,Wales,Swansea 018A,9,11,8.6,86,113,491,4.3,6.5,5.8,-33.85
Swansea,005A,Gorseinon 1,W01000773,23.1,FALSE,FALSE,18.6,18,8.6,29.2,42.5,7.9,8.7,Wales,Swansea 005A,19,27.8,22.4,86,100,376,4.6,6.8,8.8,-17.049999999999997
Swansea,005B,Gorseinon 2,W01000774,13.7,FALSE,FALSE,14.7,13.7,16.6,41.9,24.9,2.1,6.5,Wales,Swansea 005B,17,19.4,16.4,82,102,389,4.3,6.1,8,-25.45
Swansea,030A,Gower (Swansea) 1,W01000775,3.2,FALSE,FALSE,10.2,6,1.6,2.5,3.9,55,10.2,Wales,Swansea 030A,6,8.5,7.2,85,110,425,2.8,6.9,6.4,-36.35
Swansea,030B,Gower (Swansea) 2,W01000776,1.8,FALSE,FALSE,9.3,1.2,5.7,0.6,14.9,47.9,10.9,Wales,Swansea 030B,6,6.4,5.6,88,116,467,4.6,5,5.9,-38.45
Swansea,012B,Gowerton 1,W01000777,3.5,FALSE,FALSE,6.6,4.6,7,7.7,44.3,2,0.1,Wales,Swansea 012B,8,8.8,8.3,86,110,391,4.5,6.1,5.6,-36.05
Swansea,012C,Gowerton 2,W01000778,10.2,FALSE,FALSE,8.6,9.8,5.1,11.8,17.9,3.8,2.6,Wales,Swansea 012C,9,16.2,10.8,84,103,363,2.7,5.8,6,-28.65
Swansea,012D,Gowerton 3,W01000779,15.1,FALSE,FALSE,14.4,14.4,22.8,21,12.3,2.6,6.8,Wales,Swansea 012D,13,20.7,17,79,103,368,8.8,6.5,6.7,-24.15
Swansea,023A,Killay North 1,W01000780,1,FALSE,FALSE,3.6,2.2,5.2,5,6.7,9.7,0.7,Wales,Swansea 023A,1,5,1.9,86,111,451,4.7,5.5,5.4,-39.85
Swansea,023B,Killay North 2,W01000781,0.7,FALSE,FALSE,2.5,1.2,3.1,3.1,3.9,8,1.6,Wales,Swansea 023B,5,4.3,4.3,88,115,459,4.5,5.3,5.3,-40.550000000000004
Swansea,023C,Killay South 1,W01000782,6.4,FALSE,FALSE,6.3,8.6,3.3,2.8,4,10.6,4.4,Wales,Swansea 023C,8,12.1,9.4,84,105,444,3.4,6.3,7.2,-32.75
Swansea,023D,Killay South 2,W01000783,1.4,FALSE,FALSE,5.9,9.6,9.1,7.2,10.1,8.6,1.3,Wales,Swansea 023D,9,5.7,9.5,80,108,434,3.5,6.4,7.8,-39.15
Swansea,007A,Kingsbridge 1,W01000784,8.8,FALSE,FALSE,9.4,10,6.8,8.7,21.5,12.1,1.8,Wales,Swansea 007A,13,14.7,12.8,84,107,396,5,6.7,7.7,-30.15
Swansea,007B,Kingsbridge 2,W01000785,0,FALSE,FALSE,5.6,2.3,0.4,1.7,10.5,34.2,3.2,Wales,Swansea 007B,7,NA,3,85,110,455,2.8,5.3,5.1,NA
Swansea,007C,Kingsbridge 3,W01000786,3.2,FALSE,FALSE,10.3,6.9,5,5.4,16.1,41.4,12.2,Wales,Swansea 007C,8,8.5,8,87,109,391,3.9,6.5,6.8,-36.35
Swansea,016C,Landore 1,W01000787,36.6,FALSE,FALSE,36.4,44.7,41,30.2,48.2,20.6,24.4,Wales,Swansea 016C,15,36.9,23,81,95,312,8.3,8.5,11.5,-7.95
Swansea,016D,Landore 2,W01000788,30.1,TRUE,FALSE,30.1,49,12.1,51.5,58.4,3.8,30,Wales,Swansea 016D,19,32.9,24.4,77,95,301,5.4,8.1,11.7,-11.95
Swansea,016E,Landore 3,W01000789,41.5,TRUE,FALSE,32.4,48.2,15,31.3,45.1,0.5,36.7,Wales,Swansea 016E,25,41,30.2,78,96,344,4.9,8.6,12.8,-3.8499999999999988
Swansea,016F,Landore 4,W01000790,51.1,TRUE,FALSE,39.2,50.1,15.6,36.6,33.6,1.9,89.1,Wales,Swansea 016F,19,46.9,31.2,81,94,357,4.3,10.1,12.8,2.05
Swansea,004A,Llangyfelach 1,W01000791,6.8,FALSE,FALSE,7.7,6.7,3.2,2.6,13.4,17.6,7.5,Wales,Swansea 004A,8,12.5,7.7,87,109,391,2.6,5.9,7.4,-32.35
Swansea,004B,Llangyfelach 2,W01000792,3.3,FALSE,FALSE,8.4,4.3,2.5,7.7,8.6,40.6,1.6,Wales,Swansea 004B,8,8.6,7.4,88,112,381,3.3,6.3,5.8,-36.25
Swansea,004C,Llangyfelach 3,W01000793,2.7,FALSE,FALSE,8.5,5.7,1.2,4.8,9.7,43.6,2.4,Wales,Swansea 004C,5,7.6,5.4,89,106,409,0.7,6,6.1,-37.25
Swansea,010A,Llansamlet 1,W01000794,16.7,FALSE,FALSE,15.3,16.5,9.4,10.8,20.5,23.1,4.6,Wales,Swansea 010A,11,22.3,14.7,79,101,409,3.3,7.1,7.6,-22.549999999999997
Swansea,006A,Llansamlet 2,W01000795,1,FALSE,FALSE,8.1,5.3,9.2,6.7,14.3,27.7,10.3,Wales,Swansea 006A,9,4.9,5.8,87,105,427,2.9,5.6,6.1,-39.95
Swansea,006B,Llansamlet 3,W01000796,7.9,FALSE,FALSE,11.8,13.6,2.1,11.6,26.8,28.4,7.3,Wales,Swansea 006B,9,13.9,10.7,85,100,384,4.4,6.4,7.1,-30.95
Swansea,010B,Llansamlet 4,W01000797,4.1,FALSE,FALSE,7.7,7.8,7.9,8.1,4,21,4.2,Wales,Swansea 010B,11,9.5,10.5,82,105,441,2.4,5.8,6.4,-35.35
Swansea,010C,Llansamlet 5,W01000798,29.7,FALSE,FALSE,25.7,29.3,38.3,18.9,4.9,9.8,16.8,Wales,Swansea 010C,16,32.5,15,82,94,369,8.3,6.9,8.8,-12.349999999999998
Swansea,010D,Llansamlet 6,W01000799,42.8,FALSE,FALSE,34.7,66,10.5,50,5.5,18.6,13.9,Wales,Swansea 010D,20,41.7,30.8,76,91,290,3.5,8.1,13.2,-3.149999999999996
Swansea,006C,Llansamlet 7,W01000800,3.8,FALSE,FALSE,6.9,5.3,1.1,2.5,20.4,24.4,0.8,Wales,Swansea 006C,7,9.2,6.6,85,106,446,0.7,6.6,5.5,-35.650000000000006
Swansea,006D,Llansamlet 8,W01000801,48,FALSE,TRUE,43,45.1,74,16.9,3.5,16.4,40.4,Wales,Swansea 006D,22,44.9,31.6,80,94,320,9.3,8.6,10.3,0.05
Swansea,007D,Lower Loughor,W01000802,22.1,FALSE,FALSE,20.6,13,20.1,12.5,26.2,37.1,4.1,Wales,Swansea 007D,15,26.9,18,85,105,354,6,7.1,7.5,-17.95
Swansea,002F,Mawr,W01000803,14.5,FALSE,FALSE,19.9,15.7,14.5,8.6,32.9,48,20.5,Wales,Swansea 002F,13,20.1,12.9,82,101,410,6.5,7,8.2,-24.749999999999996
Swansea,028C,Mayals 1,W01000804,2.4,FALSE,FALSE,6.2,2.4,1.8,2.8,16.8,28.2,0.1,Wales,Swansea 028C,7,7.3,7.7,87,115,455,2.1,5.1,7.9,-37.550000000000004
Swansea,028D,Mayals 2,W01000805,0.1,FALSE,FALSE,5.5,0.9,5.4,0.1,1.7,33.2,3,Wales,Swansea 028D,5,2.1,3,89,115,506,3.6,5.7,5.4,-42.75
Swansea,003A,Morriston 1,W01000806,20.7,FALSE,FALSE,17.4,18,15.3,9.4,32.7,10,8.8,Wales,Swansea 003A,12,25.4,16.9,85,101,386,6.4,8.1,8.8,-19.45
Swansea,003B,Morriston 2,W01000807,6.1,FALSE,FALSE,8.8,11.4,6.9,5.3,28.3,1.6,21.5,Wales,Swansea 003B,7,11.8,6.4,83,101,396,3.7,6.4,6.3,-33.05
Swansea,003C,Morriston 3,W01000808,7,FALSE,FALSE,8.1,7.6,2.9,5.3,37.6,7.4,4.5,Wales,Swansea 003C,15,12.8,11.6,90,104,446,3.9,5.9,7.8,-32.05
Swansea,008A,Morriston 4,W01000809,35.7,FALSE,FALSE,29.4,30,29.8,24.7,55,6.1,15.4,Wales,Swansea 008A,13,36.3,19.9,82,99,337,7.8,7.7,10.3,-8.55
Swansea,003D,Morriston 5,W01000810,51.6,FALSE,TRUE,43.7,67.6,36.3,47.9,48,5.5,19.6,Wales,Swansea 003D,27,47,36.8,77,90,302,6.9,10,11.9,2.1500000000000012
Swansea,008B,Morriston 6,W01000811,38.8,FALSE,FALSE,27.5,31.1,25.8,33.3,14.3,6,6.6,Wales,Swansea 008B,20,38.6,26.5,82,96,385,4.9,7.9,10.1,-6.249999999999997
Swansea,008C,Morriston 7,W01000812,56.3,FALSE,TRUE,52,68.2,68,47.7,59.5,8.7,19.4,Wales,Swansea 008C,25,49.5,34.1,77,88,346,7.8,8.4,13.9,4.650000000000001
Swansea,008D,Morriston 8,W01000813,15.8,FALSE,FALSE,13.6,16.6,5.4,22.7,18.5,8.1,12.8,Wales,Swansea 008D,10,21.6,12.6,86,102,394,2.5,7.7,8.9,-23.249999999999996
Swansea,008E,Morriston 9,W01000814,40.2,FALSE,FALSE,30.9,40.8,12.7,43.7,27,17.4,18.5,Wales,Swansea 008E,22,40.2,30.5,80,95,354,3,8.4,11.6,-4.649999999999996
Swansea,003E,Morriston 10,W01000815,6.1,FALSE,FALSE,9.3,10.7,1.7,11.2,38.4,12.6,8.3,Wales,Swansea 003E,8,11.7,7,85,105,406,1.5,6.8,7.6,-33.150000000000006
Swansea,003F,Morriston 11,W01000816,4.5,FALSE,FALSE,10.3,9.9,20.6,3.6,33.4,5.2,9.8,Wales,Swansea 003F,6,9.8,7.1,86,103,407,7,6.5,6.5,-35.05
Swansea,009A,Mynyddbach 1,W01000817,84.9,FALSE,TRUE,55.4,88,27.2,60.1,11.3,6.7,8.2,Wales,Swansea 009A,32,65.7,44.6,80,85,250,3.7,10.2,15.1,20.850000000000005
Swansea,009B,Mynyddbach 2,W01000818,41.4,FALSE,FALSE,34,37.8,51.8,41.7,4.5,3.7,12.3,Wales,Swansea 009B,20,41,27.3,83,97,351,8.3,9,11.5,-3.8499999999999988
Swansea,009C,Mynyddbach 3,W01000819,8.4,FALSE,FALSE,6.8,4.9,2.3,6.7,8.5,10.5,5.6,Wales,Swansea 009C,8,14.2,7.9,86,108,464,3.9,6.1,6.4,-30.65
Swansea,009D,Mynyddbach 4,W01000820,14.2,FALSE,FALSE,16.9,28,26.2,25.1,6.3,2.1,7,Wales,Swansea 009D,14,19.7,15.2,83,96,327,3.3,7.1,8.6,-25.15
Swansea,009E,Mynyddbach 5,W01000821,23,FALSE,FALSE,22.9,35.9,21.1,35.4,15.7,9.8,12.2,Wales,Swansea 009E,17,27.7,18.8,80,95,326,4.8,7.1,9.9,-17.15
Swansea,009F,Mynyddbach 6,W01000822,11,FALSE,FALSE,13,16.9,13.5,2.7,20.5,19,2.2,Wales,Swansea 009F,13,16.6,11.4,83,100,418,2.6,7.4,8.3,-28.249999999999996
Swansea,031A,Newton (Swansea) 1,W01000823,1.4,FALSE,FALSE,6,1.3,1.4,1.1,0.6,39.4,2.3,Wales,Swansea 031A,5,5.6,4.6,91,114,477,2,5.1,5.8,-39.25
Swansea,031B,Newton (Swansea) 2,W01000824,1.5,FALSE,FALSE,6.9,2.4,2.2,2.3,0.4,43.2,2.2,Wales,Swansea 031B,7,5.8,7.8,90,111,514,3.3,5.1,7.4,-39.050000000000004
Swansea,031C,Oystermouth 1,W01000825,9.1,FALSE,FALSE,10.8,5.6,3.2,20.3,11.1,31.9,4,Wales,Swansea 031C,8,15,11.3,87,113,395,2.7,5.6,8.9,-29.849999999999998
Swansea,031D,Oystermouth 2,W01000826,0.8,FALSE,FALSE,11.1,0.8,27.1,3.5,0.5,45.7,3.6,Wales,Swansea 031D,8,4.5,5.3,90,116,502,5.8,5.4,5.9,-40.35
Swansea,031E,Oystermouth 3,W01000827,3.8,FALSE,FALSE,6,3.1,0.7,4.9,0.7,26.4,6.5,Wales,Swansea 031E,5,9.3,7.2,86,110,457,2.5,4.8,6.3,-35.55
Swansea,018B,Penclawdd 1,W01000828,4.6,FALSE,FALSE,9.3,6,1.3,1.5,8.6,43.3,8.1,Wales,Swansea 018B,9,9.9,8.4,89,109,368,2.8,5.9,6.4,-34.95
Swansea,018C,Penclawdd 2,W01000829,13.8,FALSE,FALSE,19.4,12.9,35.8,13.7,17.8,32.8,4.5,Wales,Swansea 018C,14,19.4,15.1,82,104,363,7.8,6.8,7.3,-25.45
Swansea,011A,Penderry 1,W01000830,80.6,TRUE,FALSE,68.3,96.6,89.7,80.6,6.7,18.9,5.8,Wales,Swansea 011A,32,63.2,50.7,76,86,244,9.9,10.4,15.6,18.350000000000005
Swansea,013D,Penderry 2,W01000831,42.6,FALSE,FALSE,43,73.7,49.2,53.8,4.9,16.9,21,Wales,Swansea 013D,24,41.6,33.5,77,90,273,7.3,9.6,13.1,-3.2499999999999973
Swansea,011B,Penderry 3,W01000832,61.1,TRUE,FALSE,55.4,83.5,74.9,71.5,6.5,4,24.9,Wales,Swansea 011B,36,52,42.3,76,89,242,8.3,10.2,13.7,7.150000000000001
Swansea,011C,Penderry 4,W01000833,70.4,TRUE,FALSE,52.1,77.6,50,70.2,13.1,0.3,4.3,Wales,Swansea 011C,35,56.9,45.2,74,90,262,9.4,9.1,13.2,12.05
Swansea,011D,Penderry 5,W01000834,65.2,TRUE,FALSE,51,87.5,45.2,49.4,5.1,1.3,29.1,Wales,Swansea 011D,22,54.4,37.8,73,87,256,6.6,10.8,13.1,9.55
Swansea,013E,Penderry 6,W01000835,35,TRUE,FALSE,35,56.9,52.3,38.3,4,1.7,20.2,Wales,Swansea 013E,23,36,30.1,79,96,280,6.4,8.5,14.4,-8.849999999999998
Swansea,011E,Penderry 7,W01000836,59.6,TRUE,FALSE,51.1,93.6,31.5,64.8,3,23.5,26.5,Wales,Swansea 011E,25,51.3,39.2,73,87,212,6.8,9.9,14.6,6.449999999999998
Swansea,004D,Penllergaer 1,W01000837,0.6,FALSE,FALSE,6,2.1,0.3,1.8,0.2,42.5,1,Wales,Swansea 004D,6,4,3.7,90,111,454,4.2,6.3,5.4,-40.85
Swansea,004E,Penllergaer 2,W01000838,47.3,FALSE,FALSE,39.6,49.6,40.8,15.1,8.8,42.7,12.4,Wales,Swansea 004E,22,44.4,29,84,94,295,6.6,10.3,10.9,-0.45
Swansea,030C,Pennard 1,W01000839,0.8,FALSE,FALSE,5.1,3.7,1.4,1,5.2,27,4.2,Wales,Swansea 030C,8,4.4,6.7,87,110,430,4.3,5.3,6,-40.45
Swansea,030D,Pennard 2,W01000840,0.1,FALSE,FALSE,4.5,1.2,0.4,1,2.9,30.7,3.1,Wales,Swansea 030D,6,1.7,3.7,85,117,498,2.2,5.5,5.5,-43.15
Swansea,005C,Penyrheol (Swansea) 1,W01000841,43.6,FALSE,FALSE,29.9,32,26.9,17,3,21.6,9.6,Wales,Swansea 005C,16,42,22.8,80,98,331,5,8.3,8.9,-2.8499999999999988
Swansea,005D,Penyrheol (Swansea) 2,W01000842,5,FALSE,FALSE,10.2,20.6,8.5,8.1,11.1,17.1,3.4,Wales,Swansea 005D,11,10.6,10.6,81,97,341,5.9,6.1,7.3,-34.25
Swansea,005E,Penyrheol (Swansea) 3,W01000843,9,FALSE,FALSE,11.4,17.2,21.4,11.5,9.2,2.8,0.3,Wales,Swansea 005E,11,14.8,9.4,85,101,345,5.7,7.2,7.5,-30.049999999999997
Swansea,005F,Penyrheol (Swansea) 4,W01000844,29,FALSE,FALSE,23,45.1,2,24.6,9.1,15.9,12,Wales,Swansea 005F,22,32,25.4,80,95,286,2.6,8.5,10,-12.849999999999998
Swansea,001A,Pontardulais 1,W01000845,7.1,FALSE,FALSE,7.5,8.7,5,4.5,16.3,9.4,3.5,Wales,Swansea 001A,10,12.9,9.5,81,107,420,2.5,6.8,6.3,-31.95
Swansea,001B,Pontardulais 2,W01000846,18.5,FALSE,FALSE,19.9,22.5,21.4,29.3,56.2,2.1,6.7,Wales,Swansea 001B,17,23.7,20.3,80,96,419,2.5,7.7,8.3,-21.15
Swansea,001C,Pontardulais 3,W01000847,11.2,FALSE,FALSE,14.6,14.7,14.4,19.1,46.1,4.6,19.1,Wales,Swansea 001C,16,16.8,16.7,81,101,398,7.6,7.9,6.5,-28.049999999999997
Swansea,001D,Pontardulais 4,W01000848,57.8,FALSE,TRUE,35.9,41,14,30.9,32.4,2.4,31.3,Wales,Swansea 001D,21,50.4,30.1,82,94,326,2.5,8.6,10.3,5.55
Swansea,021A,St. Thomas 1,W01000849,48.5,FALSE,TRUE,42.6,42.9,38.7,36.6,39.4,35.1,42.6,Wales,Swansea 021A,24,45.1,30.8,84,92,350,5.5,8.8,11,0.25000000000000283
Swansea,021B,St. Thomas 2,W01000850,62,FALSE,TRUE,41.6,36.2,31,38.4,49.3,14.3,19.1,Wales,Swansea 021B,19,53,29.2,83,93,357,6.6,7.8,10.7,8.150000000000002
Swansea,021C,St. Thomas 3,W01000851,29.4,FALSE,FALSE,29.9,35.1,44.6,26.1,9.2,21.7,17.3,Wales,Swansea 021C,20,32.3,22.8,85,99,315,7.6,9.2,11,-12.55
Swansea,021D,St. Thomas 4,W01000852,21.5,FALSE,FALSE,28.1,30,56.8,15.4,20.4,22.2,13.5,Wales,Swansea 021D,15,26.2,17.4,81,101,368,10,8.9,10.8,-18.65
Swansea,022A,Sketty 1,W01000853,2.5,FALSE,FALSE,3.4,2.5,2.9,2.4,9.6,7.3,0.4,Wales,Swansea 022A,8,7.4,7.3,88,109,439,3.6,5,5.6,-37.45
Swansea,022B,Sketty 2,W01000854,1.6,FALSE,FALSE,4.8,2,5.6,0.3,5.6,19,4,Wales,Swansea 022B,7,6,6,86,115,477,5.2,5.8,6.1,-38.85
Swansea,022C,Sketty 3,W01000855,7.4,FALSE,FALSE,7.4,4.1,17.4,1.6,3.5,6.3,0.4,Wales,Swansea 022C,7,13.2,8.5,83,113,429,8.3,5.7,6.6,-31.65
Swansea,022D,Sketty 4,W01000856,27.1,FALSE,FALSE,18.9,21.5,11.3,24,16.8,0.7,19.1,Wales,Swansea 022D,32,30.3,33.4,80,104,358,4,7.8,9.7,-14.549999999999997
Swansea,022E,Sketty 5,W01000857,12.5,FALSE,FALSE,10.8,8.1,16.2,7.6,16.5,3.9,5.2,Wales,Swansea 022E,14,18.3,20.5,81,109,423,5.7,6.4,6.8,-26.549999999999997
Swansea,027A,Sketty 6,W01000858,2,FALSE,FALSE,6.3,3.4,12.8,10.7,18.9,7.7,2.2,Wales,Swansea 027A,7,6.7,7.4,86,112,444,6.2,4.9,7.2,-38.15
Swansea,027B,Sketty 7,W01000859,4.9,FALSE,FALSE,5.5,0.6,8,2.7,22.5,5.9,1.2,Wales,Swansea 027B,11,10.5,8.2,84,116,513,3.7,4.9,4.9,-34.35
Swansea,027C,Sketty 8,W01000860,1.1,FALSE,FALSE,6,0.3,10.5,0.9,24.5,17.6,1.5,Wales,Swansea 027C,3,5.1,3.7,89,119,511,5.9,5.4,4.9,-39.75
Swansea,027D,Sketty 9,W01000861,0.5,FALSE,FALSE,8.7,6.3,32.3,1.5,21.3,2.4,4.5,Wales,Swansea 027D,3,3.8,4.9,85,105,478,7,6.1,6.5,-41.050000000000004
Swansea,019A,Townhill 1,W01000862,82.2,TRUE,FALSE,72.7,95,95,87.5,5.9,22.7,44.1,Wales,Swansea 019A,37,63.5,55.4,75,85,279,11,11.1,17.1,18.650000000000002
Swansea,019B,Townhill 2,W01000863,74,FALSE,TRUE,56.3,75.3,53.1,55.8,1.5,19.1,38.5,Wales,Swansea 019B,35,59.2,49.3,80,86,310,8.3,9.6,12.6,14.350000000000005
Swansea,019C,Townhill 3,W01000864,79.8,TRUE,FALSE,70.8,94.3,91.6,79,16.2,20.1,42.4,Wales,Swansea 019C,34,62.7,50.3,72,87,267,9.4,11.8,16,17.850000000000005
Swansea,019D,Townhill 4,W01000865,43.3,TRUE,FALSE,37,55.5,39.1,26.3,4.6,18.9,21.9,Wales,Swansea 019D,20,42,30.1,80,92,352,5.4,10,12.8,-2.8499999999999988
Swansea,019E,Townhill 5,W01000866,62.1,TRUE,FALSE,51.9,88.6,45.4,44,3.6,23.1,22.1,Wales,Swansea 019E,28,52.9,40.7,76,88,239,7.9,10.6,14.5,8.05
Swansea,019F,Townhill 6,W01000867,63.2,TRUE,FALSE,49.9,92.2,38.8,32.8,2,14.6,20.7,Wales,Swansea 019F,28,53.9,41.9,74,89,235,5.1,9.8,17.5,9.05
Swansea,024B,Uplands 1,W01000868,1.4,FALSE,FALSE,11.4,7.3,37.2,6.4,1.4,20.9,4.1,Wales,Swansea 024B,7,5.7,6,81,110,398,7.3,5.9,7,-39.15
Swansea,024C,Uplands 2,W01000869,11.9,FALSE,FALSE,12,11.8,2.4,26.7,2.3,26.8,4.9,Wales,Swansea 024C,18,17.7,17.4,81,105,410,1.7,6.4,7.6,-27.15
Swansea,024D,Uplands 3,W01000870,2,FALSE,FALSE,5,0.4,4.3,11,7.1,18.9,1.4,Wales,Swansea 024D,9,6.7,9.1,84,121,493,4.1,6.3,5,-38.15
Swansea,026B,Uplands 4,W01000871,54.5,FALSE,TRUE,33.5,39.6,4.1,30.9,7.1,24.7,24.6,Wales,Swansea 026B,17,48.4,22.5,82,94,400,3.9,10.1,10.3,3.55
Swansea,024E,Uplands 5,W01000872,2.6,FALSE,FALSE,5.1,3.1,1.7,3.8,10.2,19.3,2.8,Wales,Swansea 024E,5,7.5,6.2,85,113,458,0.7,5.9,6.3,-37.35
Swansea,026C,Uplands 6,W01000873,8.3,FALSE,FALSE,8.9,1.5,8.2,21.5,7.2,8.9,24,Wales,Swansea 026C,9,14.2,9.5,82,120,468,4.8,5.4,6.4,-30.65
Swansea,024F,Uplands 7,W01000874,9.6,FALSE,FALSE,8.9,3.4,3.4,18.4,7.7,10.7,24.2,Wales,Swansea 024F,5,15.6,9.3,85,114,431,4,5.9,6.4,-29.249999999999996
Swansea,026D,Uplands 8,W01000875,18.7,FALSE,FALSE,20.3,23.8,19.4,21.9,3.2,17.1,44.1,Wales,Swansea 026D,11,23.9,13.8,82,102,428,3.2,9.9,9.9,-20.95
Swansea,026E,Uplands 9,W01000876,5.8,FALSE,FALSE,16.9,9.7,49.1,12,12.1,4.1,45.4,Wales,Swansea 026E,5,11.4,7.1,87,108,385,8.6,6,8.9,-33.45
Swansea,007E,Upper Loughor 1,W01000877,6.5,FALSE,FALSE,12.7,8.5,7.1,7.8,41.7,33.1,11.8,Wales,Swansea 007E,11,12.2,8.8,80,108,434,4.6,6.6,6.6,-32.650000000000006
Swansea,007F,Upper Loughor 2,W01000878,10.4,FALSE,FALSE,12.9,16.8,3.7,14,4.4,33.6,7.6,Wales,Swansea 007F,14,16.2,12.3,80,104,336,3.4,6.4,8.3,-28.65
Swansea,029A,West Cross 1,W01000879,1.7,FALSE,FALSE,7.5,1.9,6.2,0.7,24.4,32.5,0.6,Wales,Swansea 029A,7,6.1,5.8,86,115,472,2.8,5.3,6.3,-38.75
Swansea,029B,West Cross 2,W01000880,0.7,FALSE,FALSE,5.1,3,4.2,2.7,6.4,25.1,0.5,Wales,Swansea 029B,8,4.3,6.8,86,114,437,3,6.2,6.3,-40.550000000000004
Swansea,029C,West Cross 3,W01000881,33,FALSE,FALSE,23.8,17.6,30.6,10.9,2.4,23.8,4.2,Wales,Swansea 029C,24,34.4,27.9,77,107,373,4.6,7.2,9.3,-10.45
Swansea,029D,West Cross 4,W01000882,27.4,FALSE,FALSE,22,17.7,28.4,8,0.9,26.2,11.1,Wales,Swansea 029D,18,30.5,24,79,106,383,7.6,7.1,9.5,-14.349999999999998
